,TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country
304704,557471,6/20/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15825,United Kingdom
307812,557208,6/17/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16172,United Kingdom
307814,557217,6/17/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17426,United Kingdom
307816,557248,6/17/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14491,United Kingdom
313567,556539,6/13/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13589,United Kingdom
313573,556636,6/13/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13636,United Kingdom
316073,556290,6/10/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17088,United Kingdom
316075,556341,6/10/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16614,United Kingdom
318954,555938,6/8/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14257,United Kingdom
321231,555745,6/7/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14462,United Kingdom
321233,555815,6/7/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13089,United Kingdom
323137,555647,6/6/2019,22485,Set Of 2 Wooden Market Crates,23.32,6,12957,United Kingdom
324350,555558,6/5/2019,22485,Set Of 2 Wooden Market Crates,23.32,4,14159,United Kingdom
326779,555368,6/2/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13437,United Kingdom
329767,555017,5/31/2019,22485,Set Of 2 Wooden Market Crates,23.32,3,16801,United Kingdom
329771,555095,5/31/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,12540,Spain
331673,554969,5/27/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14976,United Kingdom
332820,554813,5/26/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15852,United Kingdom
336833,554160,5/23/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17841,United Kingdom
341102,553831,5/19/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14442,Channel Islands
341107,553859,5/19/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14505,United Kingdom
341117,553907,5/19/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14551,United Kingdom
343028,553685,5/18/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,18097,United Kingdom
344385,553476,5/17/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14221,United Kingdom
346282,553210,5/16/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14016,EIRE
346302,553390,5/16/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,17841,United Kingdom
348641,553088,5/13/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16180,United Kingdom
348651,553166,5/13/2019,22485,Set Of 2 Wooden Market Crates,23.32,4,17655,United Kingdom
350062,552869,5/12/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15106,United Kingdom
350078,553035,5/12/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,17337,United Kingdom
352646,552828,5/11/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13662,United Kingdom
356068,552695,5/10/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16320,Unspecified
356070,552703,5/10/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,14462,United Kingdom
357902,552472,5/9/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16503,United Kingdom
359448,552307,5/8/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,12748,United Kingdom
361407,552167,5/6/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,18227,United Kingdom
363220,551983,5/5/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17735,United Kingdom
365782,551599,5/3/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15696,United Kingdom
365787,551713,5/3/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16230,United Kingdom
366296,551533,5/1/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,15407,United Kingdom
367403,551414,4/28/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15622,United Kingdom
368688,551192,4/27/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16188,United Kingdom
368689,551250,4/27/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,17841,United Kingdom
372413,550912,4/21/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13267,United Kingdom
372421,550938,4/21/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16019,United Kingdom
378382,550350,4/18/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15491,United Kingdom
379533,550342,4/17/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13018,United Kingdom
382519,550167,4/14/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14206,United Kingdom
383605,549981,4/13/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,16348,United Kingdom
385982,549576,4/11/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17069,United Kingdom
386957,549564,4/10/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,18129,United Kingdom
389821,549275,4/7/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,15916,United Kingdom
392048,548917,4/5/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16817,United Kingdom
393717,548862,4/4/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,17956,United Kingdom
398964,548289,3/30/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13988,United Kingdom
398974,548335,3/30/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14272,United Kingdom
398976,548373,3/30/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,12373,United Kingdom
400901,548003,3/29/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,18044,United Kingdom
402565,547922,3/28/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15624,United Kingdom
410920,547094,3/21/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13934,United Kingdom
413704,546983,3/18/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16626,United Kingdom
415733,546875,3/17/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,12514,Italy
415736,546883,3/17/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13707,United Kingdom
416664,546755,3/16/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,12502,Spain
417933,546636,3/15/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14534,United Kingdom
417935,546643,3/15/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16214,United Kingdom
419032,546509,3/14/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14911,EIRE
419608,546414,3/13/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,16768,United Kingdom
422872,546079,3/9/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,14534,United Kingdom
427252,545688,3/6/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,16033,United Kingdom
430615,545399,3/2/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14934,Channel Islands
433681,545073,2/28/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14036,United Kingdom
433690,545183,2/28/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15570,United Kingdom
433692,545184,2/28/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13292,United Kingdom
434546,545041,2/27/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14952,United Kingdom
434549,545052,2/27/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13971,United Kingdom
438314,544789,2/23/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13993,United Kingdom
438315,544791,2/23/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,14289,United Kingdom
438322,544800,2/23/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,15687,United Kingdom
438325,544802,2/23/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,13149,United Kingdom
442184,544450,2/20/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17811,United Kingdom
444690,544209,2/17/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16235,United Kingdom
444702,544326,2/17/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,17326,United Kingdom
447204,543983,2/15/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,16979,United Kingdom
447215,544081,2/15/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17819,United Kingdom
448313,543907,2/14/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,17346,United Kingdom
453961,543342,2/7/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17162,United Kingdom
456452,543116,2/3/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17672,United Kingdom
466991,C542091,1/25/2019,22485,Set Of 2 Wooden Market Crates,23.32,-1,17091,United Kingdom
470907,541783,1/21/2019,22485,Set Of 2 Wooden Market Crates,23.32,6,16618,United Kingdom
473874,541524,1/19/2019,22485,Set Of 2 Wooden Market Crates,23.32,2,17091,United Kingdom
477819,541270,1/17/2019,22485,Set Of 2 Wooden Market Crates,23.32,4,14976,United Kingdom
491257,540288,1/6/2019,22485,Set Of 2 Wooden Market Crates,23.32,1,17634,United Kingdom
502252,539418,12/17/2018,22485,Set Of 2 Wooden Market Crates,23.32,2,17007,United Kingdom
519377,537843,12/8/2018,22485,Set Of 2 Wooden Market Crates,23.32,2,15713,United Kingdom
526140,537265,12/6/2018,22485,Set Of 2 Wooden Market Crates,23.32,2,15919,United Kingdom
536215,536514,12/1/2018,22485,Set Of 2 Wooden Market Crates,23.32,4,17951,United Kingdom
62388,577078,11/17/2019,22485,Set Of 2 Wooden Market Crates,35.83,2,17078,United Kingdom
90103,574950,11/8/2019,22485,Set Of 2 Wooden Market Crates,35.83,2,15950,United Kingdom
90109,575176,11/8/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,17176,United Kingdom
124177,572540,10/24/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,16540,United Kingdom
207683,566060,9/8/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,13060,United Kingdom
227217,564221,8/24/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,12221,United Kingdom
235185,563549,8/17/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,16549,United Kingdom
240444,562955,8/11/2019,22485,Set Of 2 Wooden Market Crates,35.83,3,13955,United Kingdom
240450,563093,8/11/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,15093,United Kingdom
251712,562113,8/2/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,13113,United Kingdom
282009,559492,7/8/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,13492,Switzerland
287335,559039,7/5/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,14039,United Kingdom
304649,557324,6/20/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,12324,United Kingdom
310263,556932,6/15/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,14932,United Kingdom
323109,555722,6/6/2019,22485,Set Of 2 Wooden Market Crates,35.83,2,14722,United Kingdom
328300,555278,6/1/2019,22485,Set Of 2 Wooden Market Crates,35.83,2,15278,United Kingdom
353685,552672,5/10/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,13672,United Kingdom
361499,552000,5/5/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,14000,United Kingdom
370642,550986,4/21/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,12986,United Kingdom
370645,550987,4/21/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,12987,United Kingdom
379564,550213,4/15/2019,22485,Set Of 2 Wooden Market Crates,35.83,2,17213,United Kingdom
392138,548893,4/4/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,17893,United Kingdom
392142,548894,4/4/2019,22485,Set Of 2 Wooden Market Crates,35.83,2,13894,United Kingdom
395791,548522,3/31/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,17522,United Kingdom
399054,548191,3/29/2019,22485,Set Of 2 Wooden Market Crates,35.83,3,16191,United Kingdom
403368,547788,3/25/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,16788,United Kingdom
406286,547547,3/23/2019,22485,Set Of 2 Wooden Market Crates,35.83,2,15547,United Kingdom
407587,547385,3/22/2019,22485,Set Of 2 Wooden Market Crates,35.83,2,17385,United Kingdom
413793,546891,3/17/2019,22485,Set Of 2 Wooden Market Crates,35.83,3,15891,United Kingdom
424527,545717,3/7/2019,22485,Set Of 2 Wooden Market Crates,35.83,3,16717,United Kingdom
461669,542541,1/28/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,12541,Spain
467091,541878,1/24/2019,22485,Set Of 2 Wooden Market Crates,35.83,2,14878,United Kingdom
471020,541695,1/20/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,12695,France
475355,541424,1/17/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,15424,United Kingdom
478540,541132,1/14/2019,22485,Set Of 2 Wooden Market Crates,35.83,1,16132,United Kingdom
481472,540848,1/12/2019,22485,Set Of 2 Wooden Market Crates,36.38,1,17848,United Kingdom
495516,539739,12/21/2018,22485,Set Of 2 Wooden Market Crates,36.38,1,15739,United Kingdom
