TransactionNo,TotalQuantity,TotalMoney
580177,12,6.19
580178,988,98.89000000000001
580188,510,507.4999999999999
580189,48,7.24
580193,71,163.0
580208,48,55.71
580213,79,43.33
580214,24,12.23
580221,160,92.54999999999998
580235,288,6.19
580243,1120,6.19
580256,254,313.09000000000003
580257,50,6.19
580258,514,37.14
580259,126,43.16
580260,212,290.93
580261,15,18.57
580262,314,117.46000000000001
580264,160,6.19
580265,50,18.57
580272,392,649.8500000000004
580276,157,328.07
580277,47,30.950000000000003
580278,64,202.92000000000002
580279,686,327.61999999999995
580280,110,49.22
580281,80,24.76
580282,76,83.46999999999998
580283,292,131.49
580284,57,111.27000000000001
580285,14,18.42
580286,74,70.19
580287,39,146.68
580288,57,49.22
580289,457,198.08
580290,173,209.67
580291,410,261.44
580292,109,36.2
580293,73,166.52000000000004
580294,137,130.29
580295,52,179.35999999999999
580296,145,296.22
580297,1744,49.52
580298,468,185.7
580299,183,92.85
580300,9,6.19
580301,124,68.09
580302,2,6.19
580303,84,24.76
580304,369,309.68
580305,250,799.4800000000002
580306,196,136.18
580307,52,113.74000000000001
580308,138,93.89999999999999
580309,172,80.47
580310,12,12.23
580311,460,347.5
580314,55,37.14
580315,48,6.19
580316,168,129.99
580317,278,166.3
580318,295,216.46
580319,338,86.66
580320,252,133.25
580321,24,14.48
580322,304,72.28999999999999
580331,48,6.19
580351,51,30.439999999999998
580355,276,43.160000000000004
580356,2,6.19
580357,544,164.99
580358,182,317.82000000000005
580360,278,179.73000000000002
580361,12,7.24
580362,86,92.01999999999998
580363,1500,6.19
580364,316,99.04
580366,84,277.01
580367,1871,4148.799999999999
580368,24,6.19
580369,19,74.28
580370,120,18.57
580371,50,6.19
580372,91,61.9
580373,228,92.40000000000002
580374,213,116.95
580375,146,55.71
579899,137,86.87999999999998
579900,139,130.20999999999998
579901,85,55.56
579907,2,6.19
579909,30,85.75999999999999
579910,131,85.31000000000003
579916,72,18.12
579917,24,6.04
579920,384,24.16
579921,216,42.28
579922,204,30.950000000000003
579927,156,142.25
579936,1200,6.19
579937,135,30.950000000000003
579938,660,454.57
579939,207,26.86
579940,215,132.39000000000001
579941,327,172.70999999999998
579942,180,152.04000000000002
579943,188,143.23
579946,165,215.05000000000004
579947,2,7.24
579949,207,91.91
579954,705,98.89000000000001
579962,66,36.54
579980,76,166.68
579986,1167,85.91
579990,121,73.98
579991,252,142.07
580005,36,117.61
580021,109,68.09
580022,14,30.950000000000003
580023,254,37.14
580024,385,164.20000000000002
580025,110,303.16
580026,360,12.38
580027,507,443.7200000000001
580028,93,79.63999999999999
580029,54,38.04
580030,172,111.42
580031,90,12.38
580032,76,144.02
580033,130,49.370000000000005
580043,63,159.89
580044,195,129.99
580045,78,30.950000000000003
580046,85,65.05000000000001
580047,49,162.32
580048,99,318.84000000000003
580049,134,89.51
580050,201,154.75
580051,97,74.28
580052,24,6.19
580053,232,55.71
580054,343,518.0799999999999
580055,360,86.66
580057,250,49.52
580058,333,142.37
580059,379,158.61
580060,45,30.950000000000003
580061,246,55.71
580062,86,292.43
580063,720,36.2
580064,194,166.52000000000004
580065,46,57.92
580066,253,121.91999999999999
580067,276,18.57
580068,5,6.19
580069,21,49.52
580070,136,49.52
580071,120,98.89000000000001
580073,79,111.12000000000002
580074,62,30.950000000000003
580075,127,105.23
580076,204,30.950000000000003
580077,248,123.74000000000001
580088,112,43.33
580089,149,121.47
580090,33,30.950000000000003
580091,126,61.9
580092,586,377.59
580093,18,12.38
580094,84,185.7
580095,68,24.76
580096,497,108.59999999999997
580097,69,86.87999999999998
580098,63,94.11999999999998
580100,68,36.2
580101,202,138.39
580102,32,30.950000000000003
580103,306,258.63
580104,224,30.349999999999998
580105,198,92.69999999999999
580106,210,91.95
580107,128,140.0
580108,117,57.510000000000005
580109,110,36.99
580110,42,25.810000000000002
580111,716,86.87999999999998
580112,124,43.440000000000005
580113,150,152.04000000000002
580114,240,101.35999999999997
580115,1986,4056.83
580116,1101,134.16
580117,153,70.7
580118,228,100.50999999999998
580119,66,254.10000000000002
580120,168,55.71
580123,216,18.57
580124,175,80.47
580125,116,61.9
580126,320,129.99
580127,256,111.27000000000001
580128,152,272.47
580129,447,225.74
580130,106,48.16
580132,136,37.14
580133,265,251.60999999999999
580134,194,92.69999999999999
580135,73,99.04
580136,336,772.8500000000001
580137,226,538.5300000000002
579522,160,98.54999999999998
579523,204,49.830000000000005
579524,134,110.67999999999999
579525,950,148.56
579526,88,18.57
579527,270,111.42
579528,50,20.67
579529,267,166.09
579530,154,123.05999999999999
579531,418,79.28
579533,84,105.23
579534,36,6.19
579535,192,105.23
579536,674,382.13
579537,5,30.950000000000003
579538,1390,86.66
579539,99,105.23
579540,168,129.99
579541,134,286.29
579542,36,24.76
579543,3,12.21
579544,111,92.52999999999999
579545,515,115.82000000000001
579546,228,129.84
579548,63,61.75
579549,196,74.28
579550,261,173.32
579551,144,64.31
579552,440,109.93
579553,354,191.58999999999997
579555,357,741.1799999999998
579556,122,144.32
579557,600,371.36
579558,368,185.39999999999998
579559,100,357.43
579560,71,204.05
579561,83,170.61
579571,307,199.35
579572,138,86.66
579600,236,117.61
579605,148,172.71999999999997
579612,1,6.19
579619,70,30.8
579623,150,106.78999999999999
579629,227,173.97
579634,147,67.33999999999999
579666,223,136.12
579667,52,105.23
579668,255,175.64000000000001
579669,135,86.87999999999998
579670,66,50.68000000000001
579671,75,72.39999999999999
579672,1386,213.60000000000005
579673,134,320.71000000000004
579674,92,67.35000000000001
579675,145,70.08999999999999
579676,204,74.28
579677,67,43.33
579678,132,36.99
579679,29,89.15999999999998
579684,28,12.38
579685,205,92.85
579686,24,6.19
579687,60,12.38
579689,63,241.68000000000004
579690,93,290.46000000000004
579692,2299,440.81999999999994
579693,91,68.09
579694,523,1171.4900000000002
579708,236,110.95
579711,124,462.68000000000006
579712,75,90.96999999999998
579725,24,6.19
579740,13,80.17
579741,95,427.59
579744,268,314.25
579747,148,72.69
579749,366,210.16
579750,184,176.37000000000003
579751,138,465.06999999999994
579754,223,262.71000000000004
579757,24,6.19
579759,244,18.57
579768,132,49.52
579777,1761,4433.59
579779,51,24.400000000000002
579784,936,49.52
579786,108,18.57
579787,393,998.2800000000002
579788,24,6.19
579789,39,33.95
579792,803,447.34000000000003
579807,183,82.96999999999998
579832,274,133.45
579834,240,50.68000000000001
579837,140,57.92
579840,100,64.39999999999999
579843,640,167.13
579846,194,111.24000000000001
579848,404,69.25
579854,129,107.44
579865,42,49.52
579867,454,203.25000000000003
579868,406,143.78
579870,97,80.47
579872,239,111.77999999999999
579881,512,167.4
579885,572,958.21
579256,224,92.39999999999999
579257,136,18.57
579258,187,130.29
579259,150,101.35999999999997
579260,142,50.68000000000001
579261,286,117.16000000000001
579262,60,12.38
579263,18,12.38
579264,70,18.57
579265,48,12.38
579267,457,239.18
579268,368,117.61
579269,168,43.18
579270,212,86.66
579271,649,61.9
579273,267,111.53
579274,158,127.85
579276,48,24.590000000000003
579278,34,37.14
579279,158,55.71
579280,18,37.14
579281,90,30.950000000000003
579282,58,48.580000000000005
579283,532,317.67
579284,1619,129.35999999999999
579285,24,50.57000000000001
579286,53,321.9
579287,112,55.71
579288,5,30.950000000000003
579289,4,18.39
579291,955,429.01000000000005
579293,86,301.89
579297,659,1539.0299999999997
579300,308,83.44
579301,167,558.0799999999999
579307,158,101.78999999999998
579328,139,63.849999999999994
579332,162,49.19
579339,148,30.770000000000003
579345,338,137.02
579350,515,110.97
579352,29,67.43
579358,81,67.75
579361,5,24.52
579364,73,30.950000000000003
579365,6,6.19
579387,73,216.10000000000002
579391,380,94.11999999999998
579393,306,185.77000000000004
579399,262,668.5799999999999
579400,1024,42.61000000000001
579401,187,135.25000000000003
579402,167,18.51
579403,180,59.730000000000004
579404,119,67.29
579405,338,12.08
579406,54,42.88
579407,76,36.72
579408,258,597.21
579409,1,6.19
579410,36,19.62
579411,96,145.82
579412,182,141.32
579413,218,332.9300000000001
579414,213,362.00000000000006
579416,228,80.07
579419,48,43.870000000000005
579427,67,152.04000000000002
579430,132,278.25
579432,168,114.35
579433,173,125.07
579434,287,101.02000000000001
579435,6,12.38
579436,48,6.19
579437,5,12.38
579439,120,43.33
579440,202,142.37
579441,17,24.76
579442,88,92.85
579443,35,86.66
579444,217,123.68
579445,72,18.57
579446,368,215.93
579447,281,180.41
579448,12,6.19
579449,200,12.38
579450,774,6.19
579451,48,6.19
579452,36,6.19
579453,90,60.96
579454,157,50.68000000000001
579455,221,120.76
579456,156,465.04999999999995
579457,152,43.18
579458,168,808.7600000000001
579459,99,28.96
579461,453,224.9
579462,255,61.69
579463,2,12.26
579464,104,61.9
579465,114,226.94
579466,72,12.38
579467,109,92.78999999999999
579468,77,214.42000000000002
579469,100,7.24
579470,588,1308.2400000000002
579471,403,1059.5200000000002
579472,180,779.6900000000003
579473,279,151.06
579489,27,61.9
579491,184,401.99
579492,300,80.41
579493,220,116.77
579494,24,6.13
579495,180,49.28
579497,86,197.47
579498,2040,7.67
579499,378,203.30000000000004
579501,625,183.14000000000004
579503,117,188.91
579505,407,41.79
579506,119,66.63
579507,120,111.83000000000001
579508,1516,3780.6200000000003
579509,47,65.16
579510,445,196.73999999999998
579511,12,6.13
579512,1344,3318.99
579513,127,18.39
579514,64,73.56
579515,238,121.53
579516,357,990.0200000000001
579517,16,50.68000000000001
579518,46,109.02999999999997
579520,68,318.71
579003,166,68.74
579005,204,21.72
579006,72,7.24
579007,96,13.629999999999999
579008,166,27.849999999999998
579009,12,6.13
579010,50,24.52
579011,152,61.300000000000004
579012,44,159.38
579013,82,49.04
579014,364,59.85
579015,24,7.24
579016,198,52.400000000000006
579017,51,22.58
579027,223,61.410000000000004
579037,397,95.74999999999999
579039,110,60.18
579062,151,110.24000000000001
579067,55,57.47
579069,605,376.81000000000006
579087,255,103.25
579089,58,200.92
579091,576,321.5300000000001
579093,1322,431.7
579094,292,251.00999999999996
579095,13,68.26
579096,172,80.19000000000001
579097,193,72.75
579098,109,338.67999999999995
579099,121,190.98999999999998
579100,352,163.82999999999998
579101,165,147.63
579102,340,278.68000000000006
579103,221,341.1700000000001
579106,424,167.85
579107,10,6.13
579108,24,6.13
579109,24,12.26
579116,128,236.15
579121,69,24.52
579122,366,37.29
579123,128,24.52
579124,409,592.0799999999999
579125,511,172.36999999999998
579126,265,24.52
579128,102,30.65
579129,15,53.2
579130,62,33.81
579131,422,287.65
579132,193,344.13
579133,38,99.04
579134,330,136.18
579135,218,315.69
579136,109,80.47
579138,544,92.85
579139,192,6.19
579141,169,507.34000000000003
579142,210,222.84
579143,152,92.85
579144,342,129.99
579145,459,347.38000000000005
579146,191,251.8
579147,176,284.64000000000004
579148,49,49.370000000000005
579149,196,123.8
579150,340,71.35
579151,96,14.48
579152,382,207.75
579153,126,74.28
579154,116,201.08000000000004
579155,63,180.52
579156,86,80.47
579157,200,92.85
579158,140,80.47
579159,105,55.71
579160,60,24.76
579161,663,524.27
579162,136,190.95
579163,432,24.76
579164,132,12.38
579165,109,74.28
579166,97,98.89000000000001
579167,540,1029.1100000000001
579168,727,267.22
579170,63,231.68
579171,190,242.31
579173,161,92.85
579174,315,99.14999999999998
579175,110,183.73999999999998
579176,120,68.09
579177,250,49.370000000000005
579179,26,42.519999999999996
579180,344,24.08
579181,144,6.02
579182,172,55.540000000000006
579183,168,24.46
579184,93,67.78999999999999
579185,24,6.19
579187,1401,3431.3399999999997
579188,290,258.18
579189,528,15.32
579190,386,53.93000000000001
579191,600,6.19
579193,386,49.52
579194,153,68.09
579196,2105,3344.2299999999996
579245,16,6.19
579249,480,12.38
579250,143,80.16999999999999
579251,1456,18.57
579252,432,12.38
579253,96,6.19
579254,209,130.06
579255,91,101.35999999999997
578848,3,14.48
578849,52,115.72999999999999
578850,172,222.34000000000003
578851,215,147.84
578852,271,660.8300000000002
578853,47,68.09
578854,186,80.02
578855,66,55.71
578856,290,252.25
578857,22,12.23
578858,790,519.2800000000001
578901,104,324.88
578914,96,94.50000000000003
578921,214,953.47
578922,74,197.78000000000003
578923,50,129.99
578924,291,117.61
578925,359,260.16
578926,228,539.5
578927,187,296.07
578928,437,481.05
578929,150,129.69
578931,117,329.08
578933,20,55.71
578934,73,216.87
578935,142,443.61
578936,278,418.69000000000005
578937,225,135.88
578938,12,6.19
578939,82,86.50999999999999
578940,635,440.99
578941,378,408.97999999999996
578942,301,674.8300000000002
578943,165,171.51999999999998
578944,102,481.09999999999997
578945,71,116.71000000000001
578946,71,295.43
578947,438,323.03999999999996
578948,66,55.71
578949,127,564.7300000000002
578950,167,409.80999999999995
578951,277,49.370000000000005
578952,145,86.66
578953,144,258.32
578954,87,288.48
578977,283,376.46000000000004
578992,36,123.8
578993,182,331.71000000000004
578994,225,154.03000000000003
578995,589,645.7000000000002
578996,172,148.56
578997,78,98.89000000000001
578998,135,595.5799999999999
578999,144,300.04
579000,14,18.57
579001,460,626.2000000000002
579002,406,710.9399999999999
578679,568,61.3
578680,146,80.47
578681,130,86.66
578682,295,123.8
578683,70,30.950000000000003
578684,12,12.38
578685,216,43.33
578686,235,129.05
578687,183,140.38
578688,235,247.45000000000002
578689,177,24.76
578690,41,55.41
578694,126,12.38
578695,86,18.57
578696,336,210.68
578697,281,158.23000000000005
578698,439,213.01
578699,104,30.950000000000003
578701,242,154.45
578702,707,349.94
578703,201,309.83
578704,160,12.38
578705,45,105.23
578707,231,439.29999999999995
578708,20,6.19
578719,175,235.22
578736,310,90.85999999999999
578745,18,7.24
578746,1402,481.92
578757,254,782.7100000000002
578781,211,835.6300000000001
578782,1,6.19
578783,380,229.03
578785,186,24.76
578786,125,129.93
578787,86,75.92999999999999
578788,4,12.38
578789,85,95.05999999999999
578790,187,235.22
578791,102,92.85
578792,91,30.950000000000003
578793,528,61.9
578794,110,105.23
578795,234,80.47
578802,92,24.76
578804,114,51.620000000000005
578805,312,144.8
578806,396,159.28000000000003
578807,230,43.440000000000005
578808,551,323.68
578809,281,184.95
578810,56,43.18
578811,586,315.27
578812,176,144.8
578813,22,21.72
578814,207,615.73
578815,105,117.61
578816,255,24.76
578817,128,420.77
578818,74,191.89
578819,508,74.39
578820,152,24.76
578821,80,18.57
578822,226,78.67000000000002
578823,6,6.02
578824,123,372.86
578825,96,61.6
578826,75,105.08000000000001
578827,1255,3268.8199999999997
578828,2,13.43
578829,37,105.23
578830,53,55.71
578831,160,12.38
578833,911,1556.0700000000002
578834,183,191.89
578835,68,24.76
578836,117,142.37
578841,12540,6.19
578842,11,61.9
578843,57,204.12
578844,1183,3330.6299999999997
578845,1,7.24
578846,299,302.56
578847,1,7.24
578330,438,12.38
578331,142,55.56
578332,14,48.92
578333,200,68.09
578334,64,37.14
578335,244,160.64
578339,76,49.52
578341,384,12.38
578343,60,18.57
578344,1602,3990.2599999999998
578345,252,18.57
578346,252,18.57
578347,1513,3895.13
578348,132,64.0
578349,375,157.25
578350,205,86.43999999999998
578351,64,12.38
578352,50,37.14
578353,108,43.33
578354,232,161.27000000000004
578356,132,21.72
578357,258,125.07
578358,948,74.28
578359,600,37.14
578361,93,49.52
578362,550,129.99
578364,187,74.28
578365,794,73.98
578366,135,121.76
578369,59,128.2
578370,83,190.48
