,TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country,TotalMoney,Month,Year
6498,C581305,2019-12-08,82484,Wood Black Board Ant White Finish,6.19,-1,16933.0,United Kingdom,-6.19,12,2019
6499,C581316,2019-12-08,23020,Glass Songbird Storage Jar,6.19,-1,12523.0,France,-6.19,12,2019
6500,C581316,2019-12-08,21531,Red Retrospot Sugar Jam Bowl,6.19,-1,12523.0,France,-6.19,12,2019
6501,C581316,2019-12-08,23174,Regency Sugar Bowl Green,6.19,-1,12523.0,France,-6.19,12,2019
6502,C581322,2019-12-08,22909,Set Of 20 Vintage Christmas Napkins,6.19,-1,18223.0,United Kingdom,-6.19,12,2019
6503,C581322,2019-12-08,22666,Recipe Box Pantry Yellow Design,6.19,-1,18223.0,United Kingdom,-6.19,12,2019
6504,C581323,2019-12-08,21533,Retrospot Large Milk Jug,6.19,-1,14442.0,Channel Islands,-6.19,12,2019
6505,C581330,2019-12-08,22959,Wrap Christmas Village,6.19,-25,15877.0,United Kingdom,-154.75,12,2019
6506,C581330,2019-12-08,16169E,Wrap 50'S Christmas,6.19,-100,15877.0,United Kingdom,-619.0,12,2019
6507,C581384,2019-12-08,51008,Afghan Slipper Sock Pair,6.19,-2,17673.0,United Kingdom,-12.38,12,2019
6508,C581390,2019-12-08,21733,Red Hanging Heart T-Light Holder,6.19,-3,13081.0,United Kingdom,-18.57,12,2019
6509,C581390,2019-12-08,23374,Red Spot Paper Gift Bag,6.19,-10,13081.0,United Kingdom,-61.900000000000006,12,2019
6510,C581393,2019-12-08,22780,Light Garland Butterfiles Pink,6.19,-3,16892.0,United Kingdom,-18.57,12,2019
6513,C581409,2019-12-08,84946,Antique Silver T-Light Glass,6.19,-1,12476.0,Germany,-6.19,12,2019
6514,C581409,2019-12-08,20979,36 Pencils Tube Red Retrospot,6.19,-3,12476.0,Germany,-18.57,12,2019
6515,C581409,2019-12-08,23425,Storage Tin Home Sweet Home,6.19,-3,12476.0,Germany,-18.57,12,2019
6516,C581409,2019-12-08,22364,Glass Jar Digestive Biscuits,6.19,-2,12476.0,Germany,-12.38,12,2019
6517,C581409,2019-12-08,23114,Vintage Leaf Chopping Board,6.19,-1,12476.0,Germany,-6.19,12,2019
6518,C581409,2019-12-08,23245,Set Of 3 Regency Cake Tins,6.19,-1,12476.0,Germany,-6.19,12,2019
6519,C581409,2019-12-08,23462,Rococo Wall Mirror White,6.19,-1,12476.0,Germany,-6.19,12,2019
6520,C581409,2019-12-08,22781,Gumball Magazine Rack,6.19,-1,12476.0,Germany,-6.19,12,2019
6521,C581409,2019-12-08,82484,Wood Black Board Ant White Finish,6.19,-1,12476.0,Germany,-6.19,12,2019
6522,C581409,2019-12-08,82482,Wooden Picture Frame White Finish,7.24,-1,12476.0,Germany,-7.24,12,2019
6523,C581409,2019-12-08,22173,Metal 4 Hook Hanger French Chateau,7.24,-2,12476.0,Germany,-14.48,12,2019
6524,C581409,2019-12-08,85199L,Large Hanging Ivory & Red Wood Bird,7.24,-1,12476.0,Germany,-7.24,12,2019
6525,C581409,2019-12-08,85127,Small Square Cut Glass Candlestick,7.24,-5,12476.0,Germany,-36.2,12,2019
6526,C581460,2019-12-08,22197,Popcorn Holder,7.24,-5,13078.0,United Kingdom,-36.2,12,2019
6527,C581460,2019-12-08,22107,Pizza Plate In Box,7.24,-1,13078.0,United Kingdom,-7.24,12,2019
6528,C581462,2019-12-08,16219,House Shape Pencil Sharpener,6.19,-48,12985.0,United Kingdom,-297.12,12,2019
6529,C581462,2019-12-08,21642,Assorted Tutti Frutti Pen,6.19,-72,12985.0,United Kingdom,-445.68,12,2019
6530,C581463,2019-12-08,85048,15cm Christmas Glass Ball 20 Lights,6.19,-2,17526.0,United Kingdom,-12.38,12,2019
6531,C581464,2019-12-08,23458,Dolly Cabinet 3 Drawers,6.19,-1,15951.0,United Kingdom,-6.19,12,2019
6532,C581464,2019-12-08,71477,Coloured Glass Star T-Light Holder,6.19,-6,15951.0,United Kingdom,-37.14,12,2019
6533,C581465,2019-12-08,23660,Henrietta Hen Mug,6.19,-2,15755.0,United Kingdom,-12.38,12,2019
6534,C581465,2019-12-08,22171,3 Hook Photo Shelf Antique White,6.19,-1,15755.0,United Kingdom,-6.19,12,2019
6535,C581465,2019-12-08,21876,Pottering Mug,6.04,-4,15755.0,United Kingdom,-24.16,12,2019
6536,C581465,2019-12-08,20914,Set/5 Red Retrospot Lid Glass Bowls,6.04,-3,15755.0,United Kingdom,-18.12,12,2019
6537,C581466,2019-12-08,22838,3 Tier Cake Tin Red And Cream,6.19,-1,13883.0,United Kingdom,-6.19,12,2019
6538,C581466,2019-12-08,22720,Set Of 3 Cake Tins Pantry Design,6.19,-2,13883.0,United Kingdom,-12.38,12,2019
6539,C581466,2019-12-08,21216,Set 3 Retrospot Tea/Coffee/Sugar,6.19,-1,13883.0,United Kingdom,-6.19,12,2019
6540,C581466,2019-12-08,21535,Red Retrospot Small Milk Jug,6.19,-2,13883.0,United Kingdom,-12.38,12,2019
6541,C581466,2019-12-08,21232,Strawberry Ceramic Trinket Pot,6.19,-1,13883.0,United Kingdom,-6.19,12,2019
6542,C581468,2019-12-08,21314,Small Glass Heart Trinket Pot,6.19,-10,13599.0,United Kingdom,-61.900000000000006,12,2019
6543,C581468,2019-12-08,22098,Boudoir Square Tissue Box,6.19,-12,13599.0,United Kingdom,-74.28,12,2019
6544,C581470,2019-12-08,23084,Rabbit Night Light,6.19,-4,17924.0,United Kingdom,-24.76,12,2019
8923,C581012,2019-12-07,21232,Strawberry Ceramic Trinket Pot,7.24,-1,13014.0,United Kingdom,-7.24,12,2019
8924,C581012,2019-12-07,37449,Ceramic Cake Stand + Hanging Cakes,6.04,-1,13014.0,United Kingdom,-6.04,12,2019
8925,C581071,2019-12-07,85099C,Jumbo Bag Baroque Black White,6.04,-1,12375.0,Finland,-6.04,12,2019
8926,C581100,2019-12-07,22946,Wooden Advent Calendar Cream,6.04,-1,14534.0,United Kingdom,-6.04,12,2019
8927,C581106,2019-12-07,23403,Letter Holder Home Sweet Home,6.19,-1,13668.0,United Kingdom,-6.19,12,2019
8928,C581117,2019-12-07,22988,Soldiers Egg Cup,6.19,-1,16393.0,United Kingdom,-6.19,12,2019
8929,C581117,2019-12-07,21931,Jumbo Storage Bag Suki,6.19,-1,16393.0,United Kingdom,-6.19,12,2019
8930,C581117,2019-12-07,22865,Hand Warmer Owl Design,6.19,-1,16393.0,United Kingdom,-6.19,12,2019
8931,C581117,2019-12-07,23238,Set Of 4 Knick Knack Tins London,6.19,-2,16393.0,United Kingdom,-12.38,12,2019
8932,C581117,2019-12-07,23311,Vintage Christmas Stocking,6.19,-2,16393.0,United Kingdom,-12.38,12,2019
8933,C581117,2019-12-07,85099B,Jumbo Bag Red Retrospot,6.19,-1,16393.0,United Kingdom,-6.19,12,2019
8934,C581117,2019-12-07,23343,Jumbo Bag Vintage Christmas,6.19,-3,16393.0,United Kingdom,-18.57,12,2019
8935,C581121,2019-12-07,22526,Wheelbarrow For Children,6.19,-1,14087.0,United Kingdom,-6.19,12,2019
8936,C581124,2019-12-07,21452,Toadstool Money Box,6.19,-4,13109.0,United Kingdom,-24.76,12,2019
8937,C581128,2019-12-07,85099B,Jumbo Bag Red Retrospot,6.19,-3,12785.0,Portugal,-18.57,12,2019
8938,C581145,2019-12-07,35970,Zinc Folkart Sleigh Bells,6.19,-12,17490.0,United Kingdom,-74.28,12,2019
8939,C581145,2019-12-07,23249,Vintage Red Enamel Trim Plate,6.19,-9,17490.0,United Kingdom,-55.71,12,2019
8940,C581145,2019-12-07,23250,Vintage Red Trim Enamel Bowl,6.19,-38,17490.0,United Kingdom,-235.22000000000003,12,2019
8941,C581148,2019-12-07,22063,Ceramic Bowl With Strawberry Design,6.19,-1,12462.0,Spain,-6.19,12,2019
8942,C581148,2019-12-07,23247,Biscuit Tin 50'S Christmas,6.19,-4,12462.0,Spain,-24.76,12,2019
8943,C581148,2019-12-07,37449,Ceramic Cake Stand + Hanging Cakes,6.19,-1,12462.0,Spain,-6.19,12,2019
8944,C581148,2019-12-07,22059,Ceramic Strawberry Design Mug,6.19,-2,12462.0,Spain,-12.38,12,2019
8945,C581148,2019-12-07,22057,Ceramic Plate Strawberry Design,6.19,-6,12462.0,Spain,-37.14,12,2019
8946,C581148,2019-12-07,84817,Danish Rose Decorative Plate,6.02,-4,12462.0,Spain,-24.08,12,2019
8947,C581162,2019-12-07,84946,Antique Silver T-Light Glass,6.02,-3,14739.0,United Kingdom,-18.06,12,2019
8948,C581178,2019-12-07,23079,Toadstool Bedside Light,6.04,-1,15525.0,United Kingdom,-6.04,12,2019
8949,C581178,2019-12-07,23494,Vintage Doily Deluxe Sewing Kit,6.19,-1,15525.0,United Kingdom,-6.19,12,2019
12197,C580740,2019-12-06,20978,36 Pencils Tube Skulls,6.19,-16,12479.0,Germany,-99.04,12,2019
12198,C580740,2019-12-06,20979,36 Pencils Tube Red Retrospot,6.19,-12,12479.0,Germany,-74.28,12,2019
12199,C580741,2019-12-06,23084,Rabbit Night Light,6.19,-2,17659.0,United Kingdom,-12.38,12,2019
12200,C580741,2019-12-06,22776,Sweetheart 3 Tier Cake Stand,7.24,-1,17659.0,United Kingdom,-7.24,12,2019
12201,C580747,2019-12-06,79321,Chilli Lights,7.24,-1,17611.0,United Kingdom,-7.24,12,2019
12202,C580749,2019-12-06,22940,Feltcraft Christmas Fairy,7.24,-12,18167.0,United Kingdom,-86.88,12,2019
12203,C580749,2019-12-06,22795,Sweetheart Recipe Book Stand,7.24,-6,18167.0,United Kingdom,-43.44,12,2019
12204,C580751,2019-12-06,23080,Red Metal Box Top Secret,7.24,-2,12921.0,United Kingdom,-14.48,12,2019
12205,C580751,2019-12-06,23201,Jumbo Bag Alphabet,7.24,-10,12921.0,United Kingdom,-72.4,12,2019
12206,C580761,2019-12-06,22941,Christmas Lights 10 Reindeer,7.24,-1,17528.0,United Kingdom,-7.24,12,2019
12207,C580761,2019-12-06,22943,Christmas Lights 10 Vintage Baubles,7.24,-1,17528.0,United Kingdom,-7.24,12,2019
12208,C580761,2019-12-06,22139,Retrospot Tea Set Ceramic 11 Pc,7.24,-1,17528.0,United Kingdom,-7.24,12,2019
12209,C580762,2019-12-06,22625,Red Kitchen Scales,7.24,-1,14543.0,United Kingdom,-7.24,12,2019
12210,C580762,2019-12-06,22960,Jam Making Set With Jars,6.19,-2,14543.0,United Kingdom,-12.38,12,2019
12211,C580762,2019-12-06,22628,Picnic Boxes Set Of 3 Retrospot,6.19,-1,14543.0,United Kingdom,-6.19,12,2019
12212,C580762,2019-12-06,22605,Wooden Croquet Garden Set,6.19,-1,14543.0,United Kingdom,-6.19,12,2019
12213,C580764,2019-12-06,22667,Recipe Box Retrospot,6.19,-12,14562.0,United Kingdom,-74.28,12,2019
12214,C580764,2019-12-06,22667,Recipe Box Retrospot,6.19,-12,14562.0,United Kingdom,-74.28,12,2019
12215,C580766,2019-12-06,21430,Set/3 Red Gingham Rose Storage Box,6.19,-1,14562.0,United Kingdom,-6.19,12,2019
12216,C580766,2019-12-06,22840,Round Cake Tin Vintage Red,6.19,-1,14562.0,United Kingdom,-6.19,12,2019
12217,C580766,2019-12-06,22667,Recipe Box Retrospot,6.19,-1,14562.0,United Kingdom,-6.19,12,2019
12218,C580766,2019-12-06,23301,Gardeners Kneeling Pad Keep Calm,6.19,-1,14562.0,United Kingdom,-6.19,12,2019
12219,C580767,2019-12-06,85099F,Jumbo Bag Strawberry,6.19,-1,14655.0,United Kingdom,-6.19,12,2019
12220,C580768,2019-12-06,23020,Glass Songbird Storage Jar,6.19,-1,13914.0,United Kingdom,-6.19,12,2019
12221,C580769,2019-12-06,23527,Wall Art Animals And Nature,6.04,-1,14869.0,United Kingdom,-6.04,12,2019
12222,C580770,2019-12-06,23322,Large White Heart Of Wicker,6.19,-3,13255.0,United Kingdom,-18.57,12,2019
12223,C580773,2019-12-06,23202,Jumbo Bag Vintage Leaf,6.19,-20,16523.0,United Kingdom,-123.80000000000001,12,2019
12224,C580805,2019-12-06,85123A,Cream Hanging Heart T-Light Holder,6.19,-1,16764.0,United Kingdom,-6.19,12,2019
12225,C580821,2019-12-06,84949,Silver Hanging T-Light Holder,6.19,-5,13098.0,United Kingdom,-30.950000000000003,12,2019
12226,C580826,2019-12-06,23249,Vintage Red Enamel Trim Plate,6.02,-1,17490.0,United Kingdom,-6.02,12,2019
12227,C580826,2019-12-06,23250,Vintage Red Trim Enamel Bowl,6.19,-31,17490.0,United Kingdom,-191.89000000000001,12,2019
12228,C580832,2019-12-06,23238,Set Of 4 Knick Knack Tins London,6.19,-1,12753.0,Japan,-6.19,12,2019
12229,C580832,2019-12-06,23237,Set Of 4 Knick Knack Tins Leaf,6.19,-3,12753.0,Japan,-18.57,12,2019
12230,C580832,2019-12-06,22667,Recipe Box Retrospot,6.19,-3,12753.0,Japan,-18.57,12,2019
12231,C580832,2019-12-06,21731,Red Toadstool Led Night Light,6.19,-2,12753.0,Japan,-12.38,12,2019
12232,C580832,2019-12-06,23480,Mini Lights Woodland Mushrooms,6.19,-15,12753.0,Japan,-92.85000000000001,12,2019
12233,C580832,2019-12-06,22466,Fairy Tale Cottage Night Light,6.19,-17,12753.0,Japan,-105.23,12,2019
12234,C580832,2019-12-06,23084,Rabbit Night Light,6.19,-7,12753.0,Japan,-43.330000000000005,12,2019
12235,C580832,2019-12-06,22621,Traditional Knitting Nancy,6.19,-1,12753.0,Japan,-6.19,12,2019
12236,C580886,2019-12-06,21258,Victorian Sewing Box Large,6.19,-5,15311.0,United Kingdom,-30.950000000000003,12,2019
12237,C580912,2019-12-06,22041,"Record Frame 7"" Single Size",6.19,-24,12989.0,United Kingdom,-148.56,12,2019
12238,C580913,2019-12-06,22536,Magic Drawing Slate Purdey,6.19,-120,17857.0,United Kingdom,-742.8000000000001,12,2019
12239,C580917,2019-12-06,84535B,Fairy Cakes Notebook A6 Size,6.19,-1,13362.0,United Kingdom,-6.19,12,2019
12240,C580917,2019-12-06,22558,Clothes Pegs Retrospot Pack 24,6.19,-1,13362.0,United Kingdom,-6.19,12,2019
12241,C580917,2019-12-06,22273,Feltcraft Doll Molly,6.19,-1,13362.0,United Kingdom,-6.19,12,2019
12242,C580918,2019-12-06,21218,Red Spotty Biscuit Tin,6.19,-24,16779.0,United Kingdom,-148.56,12,2019
12243,C580919,2019-12-06,23493,Vintage Doily Travel Sewing Kit,6.19,-4,16571.0,United Kingdom,-24.76,12,2019
12244,C580919,2019-12-06,23486,Antique Heart Shelf Unit,6.19,-2,16571.0,United Kingdom,-12.38,12,2019
12245,C580919,2019-12-06,23469,Card Holder Love Bird Small,6.19,-2,16571.0,United Kingdom,-12.38,12,2019
12246,C580919,2019-12-06,23452,Heart Mini Portrait Frame,6.19,-1,16571.0,United Kingdom,-6.19,12,2019
12247,C580919,2019-12-06,23408,Photo Frame Linen And Lace Small,6.19,-6,16571.0,United Kingdom,-37.14,12,2019
12248,C580919,2019-12-06,23240,Set Of 4 Knick Knack Tins Doily,6.19,-1,16571.0,United Kingdom,-6.19,12,2019
12249,C580919,2019-12-06,22766,Photo Frame Cornice,6.19,-8,16571.0,United Kingdom,-49.52,12,2019
12250,C580919,2019-12-06,22720,Set Of 3 Cake Tins Pantry Design,6.19,-1,16571.0,United Kingdom,-6.19,12,2019
12251,C580919,2019-12-06,21833,Camouflage Led Torch,6.19,-1,16571.0,United Kingdom,-6.19,12,2019
12252,C580919,2019-12-06,21642,Assorted Tutti Frutti Pen,6.19,-1,16571.0,United Kingdom,-6.19,12,2019
12253,C580954,2019-12-06,22333,Retrospot Party Bag + Sticker Set,6.19,-32,12967.0,United Kingdom,-198.08,12,2019
12254,C580954,2019-12-06,22276,Wash Bag Vintage Rose Paisley,6.19,-6,12967.0,United Kingdom,-37.14,12,2019
12255,C580954,2019-12-06,22128,Party Cones Candy Assorted,6.19,-42,12967.0,United Kingdom,-259.98,12,2019
12256,C580954,2019-12-06,22111,Scottie Dog Hot Water Bottle,6.19,-4,12967.0,United Kingdom,-24.76,12,2019
12257,C580954,2019-12-06,21429,Red Gingham Rose Jewellery Box,6.19,-25,12967.0,United Kingdom,-154.75,12,2019
12258,C580954,2019-12-06,21428,Set3 Book Box Green Gingham Flower,7.24,-25,12967.0,United Kingdom,-181.0,12,2019
12259,C580954,2019-12-06,21242,Red Retrospot Plate,7.24,-5,12967.0,United Kingdom,-36.2,12,2019
12260,C580954,2019-12-06,21238,Red Retrospot Cup,7.24,-16,12967.0,United Kingdom,-115.84,12,2019
12261,C580954,2019-12-06,20682,Red Retrospot Childrens Umbrella,7.24,-15,12967.0,United Kingdom,-108.60000000000001,12,2019
12262,C580954,2019-12-06,84997D,Childrens Cutlery Polkadot Pink,7.24,-4,12967.0,United Kingdom,-28.96,12,2019
12263,C580954,2019-12-06,84997C,Childrens Cutlery Polkadot Blue,7.24,-5,12967.0,United Kingdom,-36.2,12,2019
12264,C580954,2019-12-06,84997B,Childrens Cutlery Retrospot Red,7.24,-6,12967.0,United Kingdom,-43.44,12,2019
12265,C580954,2019-12-06,84997A,Childrens Cutlery Polkadot Green,7.24,-9,12967.0,United Kingdom,-65.16,12,2019
12266,C580966,2019-12-06,23212,Heart Wreath Decoration With Bell,7.24,-12,16554.0,United Kingdom,-86.88,12,2019
12267,C580966,2019-12-06,22130,Party Cone Christmas Decoration,7.24,-1,16554.0,United Kingdom,-7.24,12,2019
12268,C580966,2019-12-06,23108,Set Of 10 Led Dolly Lights,7.24,-2,16554.0,United Kingdom,-14.48,12,2019
12269,C580966,2019-12-06,23103,Jingle Bell Heart Decoration,7.24,-24,16554.0,United Kingdom,-173.76,12,2019
12270,C580966,2019-12-06,23083,Set 6 Paper Table Lantern Stars,7.24,-3,16554.0,United Kingdom,-21.72,12,2019
12271,C580966,2019-12-06,22602,Retrospot Wooden Heart Decoration,7.24,-4,16554.0,United Kingdom,-28.96,12,2019
12272,C580966,2019-12-06,22600,Christmas Retrospot Star Wood,7.24,-4,16554.0,United Kingdom,-28.96,12,2019
12273,C580966,2019-12-06,22577,Wooden Heart Christmas Scandinavian,7.24,-5,16554.0,United Kingdom,-36.2,12,2019
12274,C580966,2019-12-06,22469,Heart Of Wicker Small,7.24,-4,16554.0,United Kingdom,-28.96,12,2019
12275,C580966,2019-12-06,21314,Small Glass Heart Trinket Pot,7.24,-4,16554.0,United Kingdom,-28.96,12,2019
12276,C580968,2019-12-06,23542,Wall Art 70'S Alphabet,7.24,-2,15622.0,United Kingdom,-14.48,12,2019
12277,C580968,2019-12-06,23536,Wall Art Village Show,7.24,-4,15622.0,United Kingdom,-28.96,12,2019
12278,C580968,2019-12-06,23534,Wall Art Stop For Tea,7.24,-4,15622.0,United Kingdom,-28.96,12,2019
12279,C580968,2019-12-06,23534,Wall Art Stop For Tea,7.24,-3,15622.0,United Kingdom,-21.72,12,2019
12280,C580968,2019-12-06,23527,Wall Art Animals And Nature,6.19,-6,15622.0,United Kingdom,-37.14,12,2019
12281,C580968,2019-12-06,23526,Wall Art Dog Licence,6.19,-4,15622.0,United Kingdom,-24.76,12,2019
12282,C580968,2019-12-06,23525,Wall Art Buffalo Bill,6.19,-6,15622.0,United Kingdom,-37.14,12,2019
12283,C580968,2019-12-06,23524,Wall Art Horse & Pony,6.19,-6,15622.0,United Kingdom,-37.14,12,2019
12284,C580968,2019-12-06,23523,Wall Art Treasure Ahoy,6.19,-6,15622.0,United Kingdom,-37.14,12,2019
12285,C580968,2019-12-06,23485,Botanical Gardens Wall Clock,6.19,-1,15622.0,United Kingdom,-6.19,12,2019
12286,C580968,2019-12-06,23382,Box Of 6 Christmas Cake Decorations,6.19,-12,15622.0,United Kingdom,-74.28,12,2019
12287,C580968,2019-12-06,23284,Doormat Keep Calm And Come In,6.19,-2,15622.0,United Kingdom,-12.38,12,2019
12288,C580968,2019-12-06,23582,Vintage Doily Jumbo Bag Red,7.24,-20,15622.0,United Kingdom,-144.8,12,2019
12289,C580968,2019-12-06,23581,Jumbo Bag Paisley Park,7.24,-20,15622.0,United Kingdom,-144.8,12,2019
12290,C580968,2019-12-06,23583,Lunch Bag Paisley Park,7.24,-10,15622.0,United Kingdom,-72.4,12,2019
12291,C580970,2019-12-06,22946,Wooden Advent Calendar Cream,6.19,-6,15814.0,United Kingdom,-37.14,12,2019
12292,C580971,2019-12-06,90058B,Crystal Stud Earrings Assorted Col,6.19,-36,14298.0,United Kingdom,-222.84,12,2019
12293,C580971,2019-12-06,90058A,Crystal Stud Earrings Clear Display,6.19,-36,14298.0,United Kingdom,-222.84,12,2019
12294,C580971,2019-12-06,22313,Office Mug Warmer Pink,6.19,-250,14298.0,United Kingdom,-1547.5,12,2019
12295,C580989,2019-12-06,22331,Woodland Party Bag + Sticker Set,6.19,-1,12709.0,Germany,-6.19,12,2019
17572,C580597,2019-12-05,23302,Kneeling Mat Housework Design,6.19,-6,16360.0,United Kingdom,-37.14,12,2019
17573,C580597,2019-12-05,22197,Popcorn Holder,6.19,-1,16360.0,United Kingdom,-6.19,12,2019
17574,C580641,2019-12-05,71477,Coloured Glass Star T-Light Holder,6.19,-14,15621.0,United Kingdom,-86.66000000000001,12,2019
17575,C580649,2019-12-05,22666,Recipe Box Pantry Yellow Design,6.19,-1,14777.0,United Kingdom,-6.19,12,2019
17576,C580686,2019-12-05,22960,Jam Making Set With Jars,6.19,-1,15984.0,United Kingdom,-6.19,12,2019
17577,C580686,2019-12-05,22963,Jam Jar With Green Lid,6.19,-6,15984.0,United Kingdom,-37.14,12,2019
17578,C580686,2019-12-05,22358,Kings Choice Tea Caddy,6.19,-1,15984.0,United Kingdom,-6.19,12,2019
17579,C580686,2019-12-05,22488,Natural Slate Rectangle Chalkboard,6.19,-1,15984.0,United Kingdom,-6.19,12,2019
17580,C580686,2019-12-05,22842,Biscuit Tin Vintage Red,6.19,-1,15984.0,United Kingdom,-6.19,12,2019
17581,C580698,2019-12-05,22993,Set Of 4 Pantry Jelly Moulds,6.19,-12,17426.0,United Kingdom,-74.28,12,2019
17582,C580701,2019-12-05,23243,Set Of Tea Coffee Sugar Tins Pantry,6.19,-3,14793.0,United Kingdom,-18.57,12,2019
17583,C580702,2019-12-05,23494,Vintage Doily Deluxe Sewing Kit,6.19,-40,17404.0,Sweden,-247.60000000000002,12,2019
17584,C580703,2019-12-05,22424,Enamel Bread Bin Cream,6.19,-2,16705.0,United Kingdom,-12.38,12,2019
17585,C580703,2019-12-05,22725,Alarm Clock Bakelike Chocolate,6.19,-1,16705.0,United Kingdom,-6.19,12,2019
17586,C580707,2019-12-05,23661,Milk Maids Mug,6.19,-6,12957.0,United Kingdom,-37.14,12,2019
17587,C580708,2019-12-05,84946,Antique Silver T-Light Glass,6.19,-12,14546.0,United Kingdom,-74.28,12,2019
17588,C580710,2019-12-05,20802,Small Glass Sundae Dish Clear,6.19,-3,14198.0,United Kingdom,-18.57,12,2019
17589,C580710,2019-12-05,23175,Regency Milk Jug Pink,6.04,-1,14198.0,United Kingdom,-6.04,12,2019
17590,C580711,2019-12-05,85066,Cream Sweetheart Mini Chest,6.19,-1,16057.0,United Kingdom,-6.19,12,2019
17591,C580711,2019-12-05,23407,Set Of 2 Trays Home Sweet Home,6.19,-2,16057.0,United Kingdom,-12.38,12,2019
17592,C580711,2019-12-05,23243,Set Of Tea Coffee Sugar Tins Pantry,6.19,-1,16057.0,United Kingdom,-6.19,12,2019
17593,C580714,2019-12-05,22720,Set Of 3 Cake Tins Pantry Design,6.19,-2,12479.0,Germany,-12.38,12,2019
17594,C580714,2019-12-05,20979,36 Pencils Tube Red Retrospot,6.19,-4,12479.0,Germany,-24.76,12,2019
19619,C580392,2019-12-04,84247E,Pack Of 12 Christmas Fun Cards,6.19,-12,16283.0,United Kingdom,-74.28,12,2019
19620,C580507,2019-12-04,22423,Regency Cakestand 3 Tier,6.19,-1,15867.0,United Kingdom,-6.19,12,2019
19621,C580507,2019-12-04,72351B,Set/6 Pink Butterfly T-Lights,6.19,-1,15867.0,United Kingdom,-6.19,12,2019
19622,C580522,2019-12-04,23075,Parlour Ceramic Wall Hook,6.19,-1,13435.0,United Kingdom,-6.19,12,2019
