CustomerNo,TotalQuantity,TotalMoney
17593,3095,31509.62
12877,1178,12768.1
16013,15845,194081.07
14562,1834,22293.9
16015,908,8419.03
15992,17,105.23
13994,940,11786.41
14547,2668,25946.55
16949,1252,16665.45
16133,8887,99873.97
15157,2392,24102.21
15318,642,4119.78
17884,854,8144.14
14825,1425,15790.69
14418,2785,28750.33
16764,1259,13261.43
18005,92,806.35
16790,898,9359.23
17914,473,2957.59
18283,1395,12114.61
15061,28920,333977.12
14735,2263,24485.89
17744,3680,34337.59
14071,957,10502.31
17250,168,1487.43
14113,745,8344.48
17346,1657,16694.78
14121,2082,18803.6
16620,88,776.02
12971,9289,100914.98
16979,865,10287.81
15907,508,4766.57
16353,2005,24551.09
13755,1404,15927.96
14110,2457,27970.59
17481,1061,10079
13199,6175,69775.96
17290,403,2598.72
16528,171,1089.89
13881,10118,111928.38
16313,165,1498.83
13104,504,5505.24
13507,1597,16866.39
16495,352,3277.35
18225,3244,34304.98
13225,3419,31305.92
14503,2004,20398.81
14871,185,1933.01
17705,963,9594
16143,919,11275.01
14907,1693,18872.61
12442,181,1297.84
14673,1004,10324.54
16016,620,6894.9
14572,1428,17276.67
17119,333,3844.79
14868,1405,15651.9
15822,375,3420.63
12417,1527,17859.88
14216,593,5248
16076,1435,16260.48
15194,5703,61262.55
12820,1092,12348.48
14293,709,6579.12
12989,2943,36804.07
16569,93,575.67
13078,5630,64169.67
12362,2188,24367.78
17730,3576,39898.7
16201,1377,12822.06
17861,1988,20308.57
16983,3028,25193.99
16711,797,7942.64
12650,250,1590.7
18154,255,2363.58
14282,2668,24948.46
13323,175,1764.15
14578,240,1484.85
15023,2862,34039.55
16987,402,5260.91
17883,379,2874.51
15730,2546,22959.89
14075,754,7542.58
18180,1721,17879.32
13417,162,1553.02
15358,7050,77004.69
18223,2945,33450.55
12782,1072,12179.67
13126,2143,21919.32
15572,1229,14258.73
12646,1445,15251.15
17402,700,9185.49
16513,453,5126.11
14931,416,4651.5
15628,1895,21880.24
14194,6243,71834.95
15392,1277,13495.12
17526,413,4540.27
12925,540,4826.72
12841,3182,36652.08
16149,308,2801.96
16642,542,5042.95
15290,4500,48622.76
16811,520,5234.63
12610,2005,18853.03
13612,848,5521.15
14759,569,5406.51
16500,1033,13566.05
16873,3840,39748.71
15053,986,8200.88
17006,271,2983.04
12913,1417,11059.79
16682,1040,10942.8
16360,2144,23019.42
17579,258,2537.87
14060,5386,60410.58
14649,1018,10004.95
16746,4656,45478.83
15033,1693,19022.56
12381,797,9136.37
17254,252,1596.47
16910,886,9256.83
13311,307,3519.03
16904,2022,22395.27
17857,14822,168410.98
14083,789,7546.77
12628,445,4386.39
14401,4507,48574
16851,271,2779.46
17706,3899,47278.36
15854,772,9317.08
15621,501,4544.65
14696,1630,17629.03
17090,1405,17018.68
17811,4176,48404.19
16592,5834,68601.81
17218,958,10829.63
15856,11002,119379.62
15097,170,1048.88
16684,49955,528587.34
15031,401,4446.55
18044,1033,12118.39
17920,2514,27223.76
16674,193,2253.83
15640,6971,77068.25
17817,67,803.34
16200,523,4597.12
18015,157,1013.09
18198,4074,46294.34
13001,5505,63683.15
13083,187,1932.58
16968,326,2651.19
17683,2,14.48
13305,1232,13825.79
17676,932,8864.62
16379,1410,14158.48
15550,295,2969.33
12994,459,4740.06
16597,184,1127.92
13790,748,4579.84
13173,453,4861.14
15690,408,3588.24
16600,1145,10645.83
13230,1665,18287.83
17699,2,14.48
14219,78,564.72
17404,32744,365681.2
12683,4934,55540.22
12709,3921,47631.61
13021,1352,15085.05
18030,67,747.54
12715,200,2000.45
12367,173,1268.6
14608,437,5412.57
13079,62,758.1
14739,5106,58681.04
14629,380,3846.23
15274,619,5812.22
13985,3447,35035.54
15724,75,983.95
15932,2325,24497.72
14096,16334,177814.26
15145,756,8224.89
16729,8235,78722.12
17383,150,925.64
17732,109,1241.34
16326,709,9367.79
18065,1027,11673.68
12952,653,7084.06
16438,463,5084.27
17629,1628,17230.36
13838,262,2785.96
13558,344,3640.58
14354,210,1755.3
16561,244,2465.03
17618,1636,21151.1
17858,2773,32418.88
13596,406,2563.69
14720,219,2363.45
16283,1234,13460.59
13822,611,6354.81
13153,769,8860.12
17114,219,2812.31
12827,197,2154.89
13808,782,8921.78
14583,792,8014.5
16033,3537,43809.54
15773,311,1976.54
17131,983,10051.13
14546,1317,14354.12
16931,3158,34339.07
13956,491,5705.06
17936,263,1649.94
15867,2035,23270
13319,4724,55079.03
17508,1092,13280.47
12719,370,3193.46
12560,1098,11335.82
12673,715,7908.16
14456,2871,28949.64
16905,1405,16605.09
17750,3906,40650.84
17954,2234,23168.01
17173,1122,11164.17
13435,2129,24028.86
13519,962,6273.64
17521,520,6066.69
17827,1256,13424.14
13704,1531,17522.69
13630,1391,15566.72
16535,356,2188.49
13736,497,4374.55
14658,47,460.96
14102,961,9737.34
12724,439,4346.39
16988,43,259.72
12490,3033,30866.64
17537,716,8193.56
17157,172,1644.16
14895,4851,57562.84
13297,971,10774.78
12684,1973,21663.16
14146,3523,32019.31
17183,1296,15203.13
14148,129,1020.51
16150,1053,12533.81
12364,1625,15842.75
12762,1223,9736.92
13183,2208,25382.46
14897,962,11719.29
12558,196,1213.24
17942,38,235.22
12700,2944,30043.5
12856,1079,12237.51
18097,1686,18253.74
13495,829,9963.32
17386,1902,17650.06
18282,103,1044.86
14126,507,3074.67
14292,1543,17931.26
16440,2018,20821.14
16899,1084,12279.59
17495,231,2339.95
14092,2066,23915.74
16333,32184,349966.24
14688,3621,39668.7
13705,363,3739.41
16038,244,2843.2
16759,610,5102.85
18144,1341,15681.22
12587,50,309.5
15547,4308,48423.02
16474,941,10938.97
13560,64,393.46
15123,1195,10496.86
12704,988,10975.87
14428,436,5198.44
12695,1472,18421.26
17611,2560,28957.75
14594,185,2016.96
17221,288,2330.17
15539,410,2592.05
13780,330,2926.61
15769,29672,204746.44
17086,1892,17903.75
14023,345,3072.97
15271,1262,14713.71
16103,558,7160.06
18055,2455,29532.6
12970,310,2042.09
14250,1200,11971.93
15570,2067,24100.68
18245,1788,18187.06
13969,4542,46665.35
14560,1260,14370.68
13458,5508,62678.34
17686,2478,26591.23
15078,5105,44586.91
17567,2632,29487.55
13017,48,297.12
12962,129,1224.13
13953,2724,29945.4
14493,1285,12887.71
14865,108,1108.8
13884,300,3344.57
13868,1964,14315.02
13309,1544,14579.47
16366,340,3485.05
13367,1871,11971.08
16989,1234,13447.79
14369,19,117.61
18174,50,309.5
16359,1183,14349.99
14788,421,3757.48
17584,458,4593.87
14031,5694,74320.62
15687,1310,15455.19
15951,313,3113.33
16909,466,5041.69
16839,8975,100974.75
13854,2296,30706.24
12572,446,4389.56
12901,23075,244287.79
13509,1105,11667.43
15101,241,1910.97
16938,2537,27501.48
16496,1161,12232.53
16145,3123,34302.13
13040,355,3244.45
15993,2137,22341.88
16700,4024,41255.13
16701,6393,67187.77
14243,1508,18738.8
14804,121,747.79
13159,1059,10940.73
16376,694,7856.28
14047,381,4384.15
14289,292,3789.48
17937,1754,20984.9
15172,1610,15752.32
15021,855,9914.9
17381,25649,281942.68
14178,1503,14659.93
15380,376,4996.42
12951,504,5184.56
14659,1195,13524.01
14869,550,5187.13
13090,2262,31264.75
16156,1308,15226.15
14960,221,1477.79
12963,881,9224.72
18122,1224,12291.25
14298,58343,636167.17
14367,4438,45721.08
17768,1186,12213.36
14287,261,2577.51
15862,733,8828.13
17450,69993,891438.53
18077,1878,21100.58
15434,1839,21948.78
14309,1633,17912.71
16966,1981,19152.74
17321,412,5008.89
15060,262,1734.68
12919,673,6597.84
15500,569,6023.38
16813,1525,15480.35
15028,459,4978.06
17014,245,2359.41
15602,1141,12011.34
14262,1645,17658.9
17115,372,3440.03
14732,1405,15954.33
17293,1140,12871.26
15904,84,519.96
15373,499,7025.1
16119,358,4293.69
15144,3050,33408.08
16789,32,198.08
16242,1982,18316.84
16169,1325,13137.15
15948,567,5929.14
14440,588,7362.74
17350,795,8210.37
14766,1349,15056.72
14299,2150,25087.2
12115,2098,14211.47
14655,1141,11411.54
16011,2042,23278.79
12553,2927,33396.7
12664,1188,14394.66
13124,2320,26146
12562,1754,15925.47
17576,1994,23034.86
17426,3094,33313.03
15531,1105,11625.71
17566,518,4798.32
14432,2070,22635.29
15903,2410,28565.84
16295,1258,14661.48
15113,2385,22924.45
18058,88,544.72
12787,258,2723.08
12488,526,5085.36
12953,84,519.96
13784,2493,27892.46
15414,442,4182.88
12957,2549,26663.12
12537,5,30.95
14062,5413,58384.63
13658,1015,10373.48
14540,421,4560.11
12546,856,8893.83
15073,491,5659.44
13203,800,8127.89
12630,542,5082.9
15782,864,10445.3
14156,57845,694965.02
16241,1453,15037.54
12557,4984,46887.02
14755,2236,25430.97
15039,9200,100664.72
16115,1001,11352.63
16657,1228,12127.4
15394,910,8628.16
13647,895,8731.2
15024,920,10209.76
18241,1051,12303.97
16062,800,8469.79
14963,1176,11992.03
12598,1952,22050.66
14893,799,5159.59
16361,421,4873.44
15152,2704,29483.43
15611,502,6183.16
12966,75,543
14005,2568,23383.99
13012,1398,18251.33
15654,542,5861.02
17502,1253,15611.6
13255,177,1773.47
18230,1316,15495.4
14618,262,2361.36
15680,981,10237.07
16712,1746,19699.36
14448,104,804.9
15712,486,5377.67
14694,523,3509.62
15467,310,3348.4
15740,299,3799.99
12528,740,8395.34
13362,1382,15072.1
14751,143,928.72
17911,223,1517.12
12779,2787,34260.57
15251,6171,70145.45
17737,108,985.92
14258,6980,75235.94
12524,4971,57952.31
17787,1303,13882.75
17736,238,2698.12
14385,160,1180.99
12714,3357,33836.55
15046,3450,39660.91
17288,1203,11055.94
12882,246,2397.94
18158,354,3170.62
12921,9526,94853.69
18179,1360,13570.29
14713,1615,17173.74
16915,132,1707.16
16265,2659,29207.5
15544,3473,37094.27
12429,1538,16106.1
15444,764,6052.1
13349,224,1381.16
15619,136,841.84
15148,187,1253.17
12451,6660,74247.09
13429,1390,13791.64
14961,3708,40760.5
14321,2617,26875.24
14601,449,4955.94
15783,212,1312.28
15197,469,4634.17
13467,950,11291.67
12654,260,2934.11
14209,1344,17436.44
13928,135,1683.76
12375,176,1385.9
16818,2165,25298.02
13883,1436,14502.18
14180,719,11978.6
17772,58,385.78
13496,847,10363.97
16289,4,24.52
14419,487,5377.61
15297,951,7259.97
14667,5384,58911.95
18118,2861,33110.27
17655,1116,13209.99
17711,246,2218.99
14408,1616,18253.02
14866,6756,82481.14
12727,2068,22770.58
15218,3636,38171.06
16352,329,2948.09
16992,860,9852.92
15361,341,3904.49
14173,150,1441.76
14452,119,1019.33
12627,2739,27855.8
13137,2226,23606
17306,11491,120657.73
14550,394,3620.44
13014,907,11952.66
13657,208,1974.52
14701,932,10470.91
16168,1892,22754.7
14125,1640,17978.93
16479,102,701.73
17466,306,2729.72
16782,712,8334.77
14785,84,537.36
16852,56,669.4
14388,2564,27812.02
12464,95,1657.98
13999,2302,24403.9
15206,162,1610.46
14390,2138,22773.77
17101,815,8454.29
13147,144,1767.84
15239,594,5695.99
13428,156,979.98
14824,525,4354.1
16549,3569,39969.38
15615,5508,56739.98
13211,874,8825.93
12463,770,8933.32
15790,114,723.3
15755,1427,16126.41
14711,978,12315.08
13068,200,1321
16471,544,4243.69
13198,2648,27903.21
16775,440,6005.15
14723,696,7260.61
12670,2007,22266.5
17468,116,716.6
13576,2646,32250.43
14349,86,551.21
12798,5256,52015.44
17682,1447,12084.8
14088,12649,152390.56
15089,1359,15587.54
12508,1788,13121.98
14554,1478,15498.68
14836,43,469.25
14512,1466,10362.33
14741,841,9267.58
17924,1160,14059.86
13258,706,9077.62
15511,271,3340.61
18229,2488,24825.58
12906,1749,18246.42
15571,264,2965.15
13418,3924,44917.55
17031,235,1696.15
17651,3137,31376.22
14470,193,2097.9
13914,380,3156.39
13081,19154,212622.48
12668,1599,17865.24
17988,43,534.73
15561,267,2568.97
13758,1844,20124.51
15714,304,3224.04
13004,4822,52053.93
16364,280,2552.41
18041,3819,41769.63
17299,678,7220.39
15721,409,2665.93
14215,1358,12958.92
17852,53,333.17
15022,543,5556.75
13115,1567,15665.8
18096,825,8196.94
16094,647,6968.41
13590,1848,17411.9
17019,827,8770.53
16744,805,8373.79
14597,577,4302.28
16347,353,3105.33
17523,872,7216.98
13844,196,1213.24
12479,388,2706.55
12660,126,779.94
18101,88,770.44
17419,1876,22897.82
15540,200,1238
17188,1328,15261.47
13196,1224,13432.45
17379,663,4121.82
15838,18403,189064.64
13389,428,4538.74
14290,915,11028.26
16800,540,3368.55
17806,727,4530.58
13030,394,3663.42
17359,161,996.59
13266,4428,46730.21
13950,322,3169.86
17237,105,1216.79
15601,4983,56946.91
13188,24,148.56
13187,1496,10146.27
12657,1032,8016.62
17929,108,1766.8
14480,143,883.07
14511,1131,13011.81
14901,661,7671.09
13232,1471,17760.13
13571,1757,18712.32
16407,1124,12621.96
17864,810,8605.39
14859,671,6047.46
14878,888,10544.98
17769,1862,20880.89
18145,2625,24708.38
17812,350,3096.73
13782,371,4170.63
17236,496,5520.41
17365,4765,51335.57
18156,301,2419.57
15747,480,3812.91
13064,516,5540.89
16942,811,8497.64
16923,3417,38918.36
14577,610,7084.59
15351,753,8689.6
17068,2425,23329.61
13940,1151,10167.63
16024,378,2517.27
15009,642,6796.28
16005,300,2655.62
16877,463,5201.01
17411,306,3451.94
14954,127,858.31
17885,367,3712.36
15514,2160,24231.31
18112,255,2226.91
13546,359,3612.92
15054,198,1843.62
17231,2211,25669.56
13610,516,6088.93
15987,1556,16432.09
15861,2544,25419.67
13991,997,9113.04
18001,363,3649.15
15436,613,6627.72
17595,232,1961.16
15555,4409,46517.26
14093,406,2801.64
15117,1948,17424.99
13579,176,1444.96
15134,887,10074.29
16856,145,1432.41
13050,3747,42734.59
14703,183,1166.37
16719,1204,12921.64
15793,553,5576.75
17302,575,6686.48
12620,1178,10989.5
17624,554,5100.7
15382,4012,40748.55
17385,509,5542.39
18172,3184,38633.44
12531,45,278.55
15737,598,6625.78
17348,1401,14643.91
12681,7457,86451.58
13978,315,3337.28
13746,1431,9072.8
15872,212,1404.38
13525,394,3574.06
13184,1691,18364.35
13589,114,975.82
12788,4,24.76
14966,187,1157.53
17557,306,3099.53
13149,1494,16005.26
16327,2634,27548.42
13048,1238,11121.63
16814,2761,34505.8
12438,1169,10591.5
13332,176,1274.24
14946,22,159.28
14111,457,3951.41
13437,2591,33736.3
17823,6,36.12
17562,817,8168.14
17329,142,1398.77
16827,1255,7901.4
16828,60,724.15
14710,378,4258.47
15186,602,7480.56
15473,672,7633.76
13833,1029,7387.6
13256,12540,77622.6
13842,1779,21479.72
17813,790,9461.27
15844,1331,9141.68
12845,205,2461.6
15847,450,5009.53
14332,495,5903.35
15594,977,11425.33
12421,478,5091.65
13277,176,1381.84
15270,1521,15379.19
12494,698,7273.18
14539,429,2977.89
15632,2109,23176.15
14987,128,1219.2
16596,106,1046.23
17139,5182,52971.44
17228,1532,16008.42
15482,5019,50403.34
14607,10734,107942.72
13638,93,575.67
13588,2606,28142.28
16173,575,6456.09
16157,347,3167.19
16189,134,1391.72
15034,2422,27696.3
16271,1037,9570.37
17671,772,8030.8
17133,2795,32885.99
15005,4245,46073.44
12388,1462,16632.03
12757,3202,32617.48
16482,346,2141.74
16824,236,2317.08
12476,2357,26116.98
15858,1173,12964.21
15502,4246,49213.67
12784,298,2033.17
17458,216,1646.43
12705,3970,44897.24
17975,1566,20018.08
16609,2420,23794.5
16885,183,1851.24
14591,1297,8962.13
13995,885,8436.83
18130,824,8323.66
17767,218,2032.7
15725,221,1400.39
13207,130,1299.34
14277,1982,18928.86
17096,339,3916.75
17345,346,3198.59
12937,1327,12564.55
17247,106,678.79
13719,1278,14928.81
18184,60,371.4
15953,892,10302.76
14709,2484,20266.92
14805,115,1462.58
16616,370,2961.12
16566,370,3938.82
18161,812,8433.35
18188,1168,12191.2
17516,466,5246.25
15428,102,631.38
16570,2112,22669.24
17727,645,4227.45
17323,772,8058.05
16668,405,4545.6
14756,439,3066
12452,181,1115.05
15814,1271,13555.11
15949,284,2682.84
14912,971,8311.52
14020,441,4074.11
14790,699,6867.64
16670,2556,29170.07
16185,260,2626.45
14334,1731,19726.59
16900,832,8961.65
13502,264,2312.3
14205,305,3479.76
13742,1124,13886.38
14149,1225,9331.08
16020,487,4467.22
17685,1956,21712.83
14336,1759,16265.33
17700,1266,13158.74
16066,1302,15019.99
17135,1228,13136.19
14049,3870,35608.19
13650,922,9847.57
13448,1660,17687.24
15727,3065,35206.72
14581,217,1342.48
16255,1767,19103.75
16660,565,4904.2
15901,377,3879.56
16079,864,8771.5
14744,626,4801.26
17809,2057,25247.54
14675,341,2192.09
17469,787,6751.38
17422,2253,22767.13
13018,5435,60984.7
13899,156,1802.62
17463,1095,12185.75
14335,379,4096.7
15916,770,8681.02
14099,2177,24958.73
13139,2425,24825.46
18084,312,1912.56
13644,2067,21144.07
13174,1673,18855.12
16653,733,8435.64
12619,3360,35213.99
17034,409,3835.81
16057,863,9276.2
14733,3764,47466.75
13831,745,9101.84
17410,616,6855.93
15253,869,8574.07
13350,285,2992.74
17725,2162,24733
15398,769,6611.06
15393,150,1496.12
12948,1080,11880.64
15743,216,2634.6
16343,195,1330.51
17500,118,2472.48
16844,1242,18559.23
15065,2760,35954.43
12067,1084,14293.33
14505,2756,33283.74
13569,165,2011.51
12920,187,2156.01
17659,1525,18401.59
13488,4628,55695.85
17371,433,5646.26
17338,3110,38595.23
17073,758,9187.94
16633,1137,14592.98
12586,79,1011.43
15699,113,687.41
13403,44,269.72
16311,394,3656
16956,114,686.34
14297,865,7641.87
15106,1181,12643.54
18139,5557,58913.05
13456,764,8572.27
16107,1176,14044.04
15845,1926,22474.25
17453,221,2414.67
17600,144,1049.76
16748,880,6830.34
16607,2859,32736.35
14834,734,8455.36
17324,844,9448.68
13247,328,3792.29
16532,2016,23243.52
13681,465,5673.52
16128,997,11558.51
13499,1667,17528.56
16365,504,6079.28
16655,2367,27330.17
13268,3582,37536.5
14515,1134,12705.41
14424,52,867.12
15497,707,8779.07
17075,292,3699.63
16330,147,1764.76
15116,648,8027.57
17155,242,2738.39
16985,1832,24316.49
13363,708,8171.7
14657,466,5645.33
14467,278,3462.77
15971,1716,18126.02
15150,3658,41899.8
14768,179,2504.35
17360,335,4003
14506,736,9553.18
16722,5001,49517.84
15977,1016,11495.13
12656,1699,17396.7
16422,33704,381043.45
13037,461,5146.86
13322,161,2023.58
12474,4823,55889.61
17297,67,821.81
13986,430,4735.76
16164,433,5218.68
18249,128,1409.32
13238,466,4514.23
14066,81,1009.27
14329,3095,34025.59
17759,707,8101.02
15634,99,1264.23
12775,870,10229.43
12465,475,5567.22
17519,1236,14558.74
15965,453,5203.78
12483,1094,12931.64
16261,306,3901.63
12936,600,7316.46
12349,630,7951.1
13768,1197,16127.5
14198,290,3691.02
15115,157,1957.74
17253,43,611.51
15567,223,2476.51
13282,307,4125.26
13430,751,8393.26
12462,527,6362.73
12658,311,3709.7
12795,64,982.32
14587,761,9052.66
12904,302,3617.78
12504,87,1330.34
14449,757,8466.78
15527,992,11221.13
16369,1031,12046.15
13246,1602,17968.07
15676,2356,27668.21
18080,642,7841.16
15738,2982,35497.4
14447,571,6327.98
16139,330,4033.16
14300,70,830.16
13823,439,5480.74
14883,951,11107.79
13189,842,8897.2
17227,741,8379.13
17664,604,6748.3
15645,255,3125.07
16406,627,7746.36
13971,1844,20567.21
13673,119,1626.42
15857,308,3460.72
13167,773,8716.32
16713,4276,50259.61
12984,26,366.34
15671,1697,20086.51
15179,1938,21818.1
15093,4032,47088.95
15163,186,2218.58
14482,1685,16670.03
13739,54,775.62
14551,1903,23798.21
17625,1198,14370.8
17010,118,1409.72
12777,831,12933.12
13862,1691,18764.93
17100,806,9264.75
14030,1479,17571.76
15105,1211,14768.04
15132,679,7841.94
16803,253,2950.17
17432,207,2477.87
13531,781,10769.03
13118,497,6517.3
13212,309,3961.34
18127,188,2284.26
15426,674,8391.39
16399,246,2878.65
14525,2696,31919.35
15988,181,2017.05
15533,289,3777.35
16464,962,11026.25
17738,1029,12291.31
14704,1585,20011.83
15906,627,8132.32
12523,860,10556.31
15044,2793,36061.35
12597,2214,25599.78
17561,146,1643.9
17758,2651,31389.04
15465,1257,20419.63
13988,3044,34906.85
14116,707,8663.42
12702,544,6977.15
14664,466,5331.01
17387,542,5361.43
14881,316,3500.6
14477,1970,21015.2
15919,545,6132.14
12778,817,9084.33
12540,6620,79521.3
14157,284,3354.49
15963,298,3536.78
16762,618,7335.45
14502,1482,17718.99
13489,603,6724.07
14595,978,11747.67
16506,42,523.02
16784,24,356.24
17555,349,3998.68
14052,89,1047.99
18110,86,1123.46
14159,4401,47251.87
16212,244,3088.73
13427,549,6234.22
16533,612,7395.11
16710,1835,21167.72
14359,371,4737.4
14553,1071,13206.05
16411,132,1572.89
15745,421,5250.38
14950,136,1774.34
16666,240,2595.04
15850,302,3316.3
14860,232,2552.6
18040,148,1573.34
14984,60,833.53
13565,172,2009.16
17636,182,1917.16
12395,2097,24180.37
17425,407,4578.12
13200,513,6131.54
13832,1292,17632.22
17384,88,1184.91
13142,258,2959.09
14903,1536,18548.6
14150,1953,27122.37
12380,1110,12159.37
13171,241,2955.2
12391,300,3535.27
16293,1077,13463.78
12444,1139,15868.42
12578,1182,14273.59
13962,87,1065.54
17904,1008,12340.66
15088,467,6020.17
15494,1148,13098.56
12603,56,1202.32
17301,149,1711.09
17063,770,8041.73
14434,368,5179.36
12427,526,6109.77
17163,66,977.04
16414,27,406.15
13941,2364,29471.02
16134,371,4380.34
16511,413,5038.09
14641,90,970.14
17159,1111,12358.18
17760,239,2744.27
14849,5695,64599.98
12618,95,1114.39
18061,955,11962.8
13181,612,7804.56
16945,2737,25520.27
13117,961,10889.55
18034,561,6171.34
15530,950,11277.03
12931,28574,320853.1
17286,120,1378.68
14593,332,3859.26
12498,156,1658.67
16924,493,5571.29
15933,885,10090.56
13516,1147,13748.7
14342,347,4241.74
13880,1842,22000.28
17888,1269,14784.12
16463,1163,13377.9
13094,1716,19570.2
17779,397,4574.08
15368,230,2814.7
14285,643,8901.89
14793,91,1042.78
17650,207,2502.01
16279,1054,11703.85
13960,142,1691.48
14820,254,3133.4
16350,545,6607.09
17961,560,6916.73
17621,514,6681.86
