CustomerNo,TotalQuantity,TotalMoney
16265,2659,29207.5
17758,2651,31389.04
13955,2650,35765.21
13198,2648,27903.21
13576,2646,32250.43
17863,2638,29979.08
16327,2634,27548.42
17567,2632,29487.55
18145,2625,24708.38
17652,2624,30114.03
14321,2617,26875.24
13588,2606,28142.28
16394,2604,28283.67
16161,2594,26147.97
13437,2591,33736.3
13802,2572,25749.8
17966,2571,27479.52
14005,2568,23383.99
15804,2564,29149.14
14388,2564,27812.02
17611,2560,28957.75
16670,2556,29170.07
12957,2549,26663.12
15730,2546,22959.89
15861,2544,25419.67
13815,2540,27392.05
16938,2537,27501.48
15874,2534,31922.91
12378,2529,29410.6
18094,2518,28508.04
17920,2514,27223.76
14414,2512,27282.32
12640,2502,37688.39
14676,2500,28237.92
17613,2496,29004.84
15492,2493,18230.28
13784,2493,27892.46
18229,2488,24825.58
14709,2484,20266.92
17686,2478,26591.23
13505,2467,29009.28
17719,2466,30804.52
14110,2457,27970.59
18055,2455,29532.6
17068,2425,23329.61
13139,2425,24825.46
16984,2423,29254.98
15034,2422,27696.3
13384,2422,26053.42
16609,2420,23794.5
12473,2419,26705.23
15903,2410,28565.84
17554,2401,27716.96
16678,2397,24951.94
15157,2392,24102.21
13394,2392,26096.45
14930,2391,29228.25
15505,2390,28199.98
15113,2385,22924.45
12949,2381,28495.06
