,TransactionNo,TotalQuantity,TotalMoney
181,581019,158,88.86999999999999
183,581021,201,148.41
184,581022,62,37.14
186,581027,180,136.12
187,581034,234,123.8
188,581057,153,102.89999999999998
189,581058,32,24.76
190,581059,114,92.85
191,581064,324,86.66
192,581068,177,30.950000000000003
193,581074,180,105.23
194,581095,78,74.28
195,581096,86,61.9
196,581097,600,6.19
197,581098,566,324.20000000000005
198,581099,139,86.87999999999998
199,581101,65,137.56
200,581104,174,132.2
202,581107,620,6.19
203,581108,342,55.71
204,581110,150,6.19
205,581112,210,85.46000000000002
206,581113,83,92.7
207,581114,60,190.69
209,581116,93,128.11
210,581118,126,87.52
211,581119,38,18.42
212,581120,102,57.81000000000001
213,581122,487,224.44000000000003
214,581123,205,137.56
215,581125,251,474.91
216,581126,254,142.37
217,581129,450,222.84
218,581130,85,49.370000000000005
219,581131,140,136.18
220,581132,143,92.85
222,581134,136,317.62000000000006
223,581135,152,43.18
224,581136,20,6.04
225,581137,246,92.7
226,581138,500,24.76
227,581139,516,43.33
228,581140,57,24.76
229,581141,315,123.8
230,581142,82,272.36
231,581143,32,12.38
232,581144,275,92.85
234,581147,175,258.40000000000003
235,581149,266,474.79
236,581150,13,49.52
237,581163,122,43.33
238,581164,248,361.94
239,581165,264,179.51
240,581166,128,501.38999999999993
241,581167,180,86.66
242,581168,154,74.28
243,581169,238,64.0
244,581170,418,65.16
245,581171,247,121.81
246,581172,284,37.14
247,581173,279,316.85
248,581174,148,106.84
250,581176,452,49.52
251,581177,88,12.38
253,581180,192,70.39
254,581181,322,111.27
255,581182,138,99.94
256,581183,134,64.31
257,581184,22,28.96
258,581185,72,21.72
259,581186,120,49.72
260,581187,292,68.09
262,581191,147,367.96
263,581192,151,178.45999999999998
264,581193,92,346.32
265,581194,434,111.42
266,581195,6,6.19
267,581196,324,118.82
268,581197,12,50.47
269,580733,206,74.28
270,580734,263,134.39
271,580735,321,196.88
272,580736,203,150.97000000000003
273,580737,294,166.39
274,580738,240,37.14
275,580739,5,12.38
278,580745,100,6.19
279,580746,45,56.02
280,580748,5,24.76
281,580750,227,245.81
282,580752,233,232.65
283,580753,300,202.61
285,580755,42,12.38
286,580756,24,24.76
287,580757,209,160.49
288,580758,16,12.38
290,580760,138,50.77
291,580763,192,12.38
292,580765,24,6.19
293,580771,276,254.82
294,580772,17,18.57
295,580774,26,32.0
296,580775,20,7.24
297,580776,96,181.0
298,580777,95,75.44
299,580778,92,43.33
300,580808,626,136.18
301,580816,482,222.84
303,580820,2,12.58
304,580822,299,147.96
305,580830,79,36.54
307,580833,96,325.80000000000007
308,580848,44,249.58
309,580852,126,67.19
310,580865,473,504.7299999999999
311,580872,142,309.35
313,580874,234,100.14
315,580876,116,401.81
316,580877,98,213.44000000000003
317,580878,231,79.63999999999999
318,580879,66,222.74000000000007
320,580881,40,24.7
321,580882,38,18.45
322,580883,58,85.91000000000001
323,580884,252,810.1500000000001
324,580885,72,6.19
325,580887,80,154.39
326,580888,96,6.19
327,580889,12,55.71
328,580890,176,18.57
329,580891,158,100.15999999999998
330,580892,180,21.72
331,580893,127,322.27000000000004
332,580894,188,24.76
333,580901,171,109.83
334,580902,336,32.2
335,580903,107,445.47
336,580904,180,206.41000000000008
337,580905,99,38.19
338,580906,108,24.76
339,580907,385,209.44000000000003
340,580908,171,411.8
341,580909,160,97.99
343,580911,227,135.24
344,580914,71,223.31
345,580915,74,63.96
346,580916,9,65.16
347,580937,204,150.73
348,580939,268,129.69000000000003
349,580955,181,78.58999999999999
351,580958,121,362.6500000000001
352,580959,217,108.59999999999997
353,580960,76,224.97000000000003
354,580961,15,24.46
355,580962,28,24.76
356,580963,145,80.02000000000001
357,580964,215,105.17000000000002
358,580965,172,116.68
359,580967,72,37.14
360,580969,82,43.33
362,580973,115,74.88
363,580974,282,129.99
364,580975,24,6.19
365,580977,93,30.950000000000003
366,580978,552,55.71
367,580979,218,181.01
368,580980,461,166.11
369,580981,336,185.7
370,580982,452,395.11
372,580984,344,30.950000000000003
374,580986,250,120.43
375,580987,96,6.19
376,580988,102,61.9
377,580992,60,37.14
378,580993,64,24.76
379,580996,240,148.11
380,580997,325,463.63999999999993
381,580998,75,148.77999999999997
382,580999,177,290.63000000000005
384,580538,202,49.22
385,580539,267,135.45999999999998
386,580540,90,116.61
387,580541,632,348.65000000000003
388,580542,18,18.57
389,580543,286,142.25
390,580544,238,153.57
391,580545,127,83.44
392,580548,6,18.45
393,580550,448,185.64
394,580552,94,61.9
395,580553,408,129.51
396,580554,88,12.38
397,580555,184,74.1
398,580556,44,14.48
399,580557,34,29.39
400,580558,60,36.2
401,580559,96,65.59
402,580595,224,145.27
403,580596,207,91.65000000000002
404,580598,170,55.35
405,580599,282,137.99999999999997
406,580600,147,172.57
407,580601,4,6.19
408,580602,140,45.41
409,580603,348,137.99
410,580606,32,14.48
411,580607,156,50.68000000000001
412,580608,84,72.83
414,580611,283,682.9900000000002
416,580613,322,309.38
417,580614,18,14.48
419,580619,472,191.25
420,580622,84,55.53
421,580630,522,74.28
422,580631,170,42.39
423,580632,497,983.1200000000002
424,580633,128,239.78000000000003
425,580634,192,55.41
426,580635,353,563.28
428,580637,138,266.17
429,580638,91,37.02
430,580639,101,371.58
431,580640,147,585.1700000000002
432,580642,34,12.38
433,580643,161,109.13
434,580644,239,262.92
437,580647,321,457.94
438,580648,146,74.1
439,580650,458,178.9
440,580651,81,43.440000000000005
442,580653,322,137.33999999999995
443,580654,95,219.59000000000003
444,580655,25,24.700000000000003
445,580656,123,51.0
446,580657,191,123.13
447,580658,122,30.950000000000003
448,580659,81,158.23000000000002
449,580660,608,245.6200000000001
450,580661,53,117.83
451,580662,334,50.68000000000001
452,580663,10,7.24
453,580664,170,153.79
455,580666,32,7.24
456,580667,56,238.92
457,580668,4,25.94
458,580669,618,240.46
459,580670,97,55.71
460,580671,444,117.46
461,580672,236,513.73
463,580674,7,21.72
464,580675,598,253.63
465,580676,41,128.97
466,580677,292,780.7099999999999
467,580678,157,303.6400000000001
468,580679,191,101.35999999999996
469,580680,305,107.63999999999996
470,580681,44,24.52
471,580682,228,97.12
472,580683,2,14.48
473,580684,156,58.02
474,580685,216,100.93
475,580687,226,104.24
476,580688,43,72.75999999999999
477,580689,156,125.45
478,580690,184,42.91
480,580692,163,136.11
481,580693,204,74.09
482,580694,283,114.78
483,580695,228,757.07
484,580696,93,139.79000000000002
485,580697,397,283.01
486,580699,2,14.48
487,580700,78,50.68000000000001
488,580704,40,7.24
489,580705,467,213.5
490,580709,2,13.63
491,580712,134,108.59999999999997
492,580713,21,36.2
493,580715,5,6.13
494,580716,172,72.39999999999999
495,580717,125,43.440000000000005
496,580718,24,7.24
497,580719,264,41.06
498,580720,165,424.56000000000006
499,580721,242,140.24999999999997
500,580722,74,30.65
501,580723,407,202.8
502,580724,2,12.1
503,580725,394,124.82
505,580728,128,48.88
507,580731,150,320.86
508,580732,16,24.76
509,580384,229,92.85
510,580385,65,148.56
511,580386,50,61.9
512,580387,41,37.14
513,580388,73,42.88
514,580389,119,111.42
515,580393,95,134.29999999999998
516,580394,152,41.34
517,580395,293,122.23
518,580396,94,346.6
519,580397,69,222.54
520,580398,120,18.57
521,580399,532,917.51
522,580400,86,99.34999999999998
523,580401,84,74.28
524,580402,336,235.22
525,580403,143,266.17
526,580404,192,111.42
527,580405,72,92.85
528,580419,149,112.28
529,580431,111,36.2
530,580432,418,108.59999999999997
531,580434,40,157.41000000000005
532,580436,44,18.57
533,580438,47,30.950000000000003
534,580441,114,80.47
535,580460,44,55.71
536,580468,84,235.22
537,580469,220,648.7
538,580482,206,464.0
539,580490,311,65.05000000000001
540,580500,418,401.7
541,580501,235,462.22
542,580502,333,518.0799999999999
543,580503,51,129.99
544,580504,262,481.73
545,580505,258,229.03
546,580506,128,55.71
547,580508,20,92.7
548,580509,210,123.8
549,580511,286,181.83
550,580512,178,111.42
551,580513,534,748.6800000000001
552,580514,159,171.29000000000002
553,580515,268,80.47
554,580516,280,431.4500000000001
555,580517,200,92.85
556,580518,298,85.18999999999998
558,580520,253,809.1400000000003
559,580521,1,6.19
560,580523,286,407.71
561,580524,90,68.09
562,580525,120,24.76
563,580526,356,190.98999999999995
564,580527,269,746.05
565,580528,534,185.55
566,580529,24,92.85
567,580530,90,30.950000000000003
568,580531,33,18.12
569,580532,248,36.84
570,580533,18,6.19
571,580534,74,42.58
572,580535,43,42.28
573,580536,252,152.65
574,580537,16,61.9
575,580138,60,18.57
576,580139,70,30.950000000000003
577,580140,421,259.98
578,580141,12,6.19
579,580142,22,18.57
580,580143,124,61.9
581,580144,84,30.950000000000003
583,580147,192,74.28
584,580148,113,419.39
585,580149,1,6.19
586,580150,3,12.38
587,580151,77,73.97999999999999
588,580152,501,169.19000000000003
590,580154,8,18.57
591,580155,214,37.14
592,580156,146,111.42
593,580157,10,43.33
594,580158,196,68.09
595,580159,38,12.38
597,580162,126,302.26000000000005
598,580163,118,78.82000000000001
599,580164,268,148.56
600,580166,76,30.950000000000003
602,580169,24,6.19
604,580172,24,6.19
605,580173,28,30.950000000000003
606,580175,50,6.19
607,580176,184,36.080000000000005
608,580177,12,6.19
610,580188,510,507.4999999999999
611,580189,48,7.24
612,580193,71,163.0
613,580208,48,55.71
614,580213,79,43.33
615,580214,24,12.23
616,580221,160,92.54999999999998
617,580235,288,6.19
619,580256,254,313.09000000000003
620,580257,50,6.19
621,580258,514,37.14
622,580259,126,43.16
623,580260,212,290.93
624,580261,15,18.57
625,580262,314,117.46
626,580264,160,6.19
627,580265,50,18.57
628,580272,392,649.8500000000004
629,580276,157,328.07
630,580277,47,30.950000000000003
631,580278,64,202.92
633,580280,110,49.22
634,580281,80,24.76
635,580282,76,83.46999999999998
636,580283,292,131.49
637,580284,57,111.27
638,580285,14,18.42
639,580286,74,70.19
640,580287,39,146.68
641,580288,57,49.22
642,580289,457,198.08
643,580290,173,209.67
644,580291,410,261.44
645,580292,109,36.2
646,580293,73,166.52000000000004
647,580294,137,130.29
648,580295,52,179.36
649,580296,145,296.22
651,580298,468,185.7
652,580299,183,92.85
653,580300,9,6.19
654,580301,124,68.09
655,580302,2,6.19
656,580303,84,24.76
657,580304,369,309.68
658,580305,250,799.4800000000002
659,580306,196,136.18
660,580307,52,113.74
661,580308,138,93.9
662,580309,172,80.47
663,580310,12,12.23
664,580311,460,347.5
665,580314,55,37.14
666,580315,48,6.19
667,580316,168,129.99
668,580317,278,166.3
669,580318,295,216.46
670,580319,338,86.66
671,580320,252,133.25
672,580321,24,14.48
673,580322,304,72.28999999999999
674,580331,48,6.19
675,580351,51,30.44
676,580355,276,43.16
677,580356,2,6.19
678,580357,544,164.99
679,580358,182,317.82000000000005
680,580360,278,179.73000000000002
681,580361,12,7.24
682,580362,86,92.01999999999998
684,580364,316,99.04
685,580366,84,277.01
687,580368,24,6.19
688,580369,19,74.28
689,580370,120,18.57
690,580371,50,6.19
691,580372,91,61.9
692,580373,228,92.40000000000002
693,580374,213,116.95
694,580375,146,55.71
695,579899,137,86.87999999999998
696,579900,139,130.20999999999998
697,579901,85,55.56
698,579907,2,6.19
699,579909,30,85.75999999999999
700,579910,131,85.31000000000003
701,579916,72,18.12
702,579917,24,6.04
703,579920,384,24.16
704,579921,216,42.28
705,579922,204,30.950000000000003
706,579927,156,142.25
708,579937,135,30.950000000000003
710,579939,207,26.86
711,579940,215,132.39
712,579941,327,172.70999999999998
713,579942,180,152.04000000000002
714,579943,188,143.23
715,579946,165,215.05000000000004
716,579947,2,7.24
717,579949,207,91.91
719,579962,66,36.54
720,579980,76,166.68
722,579990,121,73.98
723,579991,252,142.07
724,580005,36,117.61
725,580021,109,68.09
726,580022,14,30.950000000000003
727,580023,254,37.14
728,580024,385,164.20000000000002
729,580025,110,303.16
730,580026,360,12.38
731,580027,507,443.7200000000001
732,580028,93,79.63999999999999
733,580029,54,38.04
734,580030,172,111.42
735,580031,90,12.38
736,580032,76,144.02
737,580033,130,49.370000000000005
738,580043,63,159.89
739,580044,195,129.99
740,580045,78,30.950000000000003
741,580046,85,65.05000000000001
742,580047,49,162.32
743,580048,99,318.84000000000003
744,580049,134,89.51
745,580050,201,154.75
746,580051,97,74.28
747,580052,24,6.19
748,580053,232,55.71
749,580054,343,518.0799999999999
750,580055,360,86.66
751,580057,250,49.52
752,580058,333,142.37
753,580059,379,158.61
754,580060,45,30.950000000000003
755,580061,246,55.71
756,580062,86,292.43
758,580064,194,166.52000000000004
759,580065,46,57.92
760,580066,253,121.92
761,580067,276,18.57
762,580068,5,6.19
763,580069,21,49.52
764,580070,136,49.52
765,580071,120,98.89
766,580073,79,111.12000000000002
767,580074,62,30.950000000000003
768,580075,127,105.23
769,580076,204,30.950000000000003
770,580077,248,123.74
771,580088,112,43.33
772,580089,149,121.47
773,580090,33,30.950000000000003
774,580091,126,61.9
775,580092,586,377.59
776,580093,18,12.38
777,580094,84,185.7
778,580095,68,24.76
779,580096,497,108.59999999999997
780,580097,69,86.87999999999998
781,580098,63,94.11999999999998
782,580100,68,36.2
783,580101,202,138.39
784,580102,32,30.950000000000003
785,580103,306,258.63
786,580104,224,30.35
787,580105,198,92.7
788,580106,210,91.95
789,580107,128,140.0
790,580108,117,57.510000000000005
791,580109,110,36.99
792,580110,42,25.81
794,580112,124,43.440000000000005
795,580113,150,152.04000000000002
796,580114,240,101.35999999999996
799,580117,153,70.7
800,580118,228,100.50999999999998
801,580119,66,254.1
802,580120,168,55.71
803,580123,216,18.57
804,580124,175,80.47
805,580125,116,61.9
806,580126,320,129.99
807,580127,256,111.27
808,580128,152,272.47
809,580129,447,225.74
810,580130,106,48.16
811,580132,136,37.14
812,580133,265,251.61
813,580134,194,92.7
814,580135,73,99.04
815,580136,336,772.8500000000001
816,580137,226,538.5300000000002
817,579522,160,98.54999999999998
818,579523,204,49.830000000000005
819,579524,134,110.68
821,579526,88,18.57
822,579527,270,111.42
823,579528,50,20.67
824,579529,267,166.09
825,579530,154,123.06
826,579531,418,79.28
827,579533,84,105.23
828,579534,36,6.19
829,579535,192,105.23
831,579537,5,30.950000000000003
833,579539,99,105.23
834,579540,168,129.99
835,579541,134,286.29
836,579542,36,24.76
837,579543,3,12.21
838,579544,111,92.53
839,579545,515,115.82
840,579546,228,129.84
841,579548,63,61.75
842,579549,196,74.28
843,579550,261,173.32
844,579551,144,64.31
845,579552,440,109.93
846,579553,354,191.59
847,579555,357,741.1799999999998
848,579556,122,144.32
849,579557,600,371.36
850,579558,368,185.4
851,579559,100,357.43
852,579560,71,204.05
853,579561,83,170.61
854,579571,307,199.35
855,579572,138,86.66
856,579600,236,117.61
857,579605,148,172.71999999999997
858,579612,1,6.19
859,579619,70,30.8
860,579623,150,106.79
861,579629,227,173.97
862,579634,147,67.33999999999999
863,579666,223,136.12
864,579667,52,105.23
865,579668,255,175.64
866,579669,135,86.87999999999998
867,579670,66,50.68000000000001
868,579671,75,72.39999999999999
870,579673,134,320.71000000000004
871,579674,92,67.35000000000001
872,579675,145,70.08999999999999
873,579676,204,74.28
874,579677,67,43.33
875,579678,132,36.99
876,579679,29,89.15999999999998
877,579684,28,12.38
878,579685,205,92.85
879,579686,24,6.19
880,579687,60,12.38
881,579689,63,241.68000000000004
882,579690,93,290.46000000000004
884,579693,91,68.09
885,579694,523,1171.4900000000002
886,579708,236,110.95
887,579711,124,462.68000000000006
888,579712,75,90.96999999999998
889,579725,24,6.19
890,579740,13,80.17
891,579741,95,427.59
892,579744,268,314.25
893,579747,148,72.69
894,579749,366,210.16
895,579750,184,176.37000000000003
896,579751,138,465.07
897,579754,223,262.71000000000004
898,579757,24,6.19
899,579759,244,18.57
900,579768,132,49.52
902,579779,51,24.4
904,579786,108,18.57
905,579787,393,998.2800000000002
906,579788,24,6.19
907,579789,39,33.95
909,579807,183,82.96999999999998
910,579832,274,133.45
911,579834,240,50.68000000000001
912,579837,140,57.92
913,579840,100,64.39999999999999
915,579846,194,111.24
916,579848,404,69.25
917,579854,129,107.44
918,579865,42,49.52
919,579867,454,203.25000000000003
920,579868,406,143.78
921,579870,97,80.47
922,579872,239,111.78
923,579881,512,167.4
924,579885,572,958.21
925,579256,224,92.4
926,579257,136,18.57
927,579258,187,130.29
928,579259,150,101.35999999999996
929,579260,142,50.68000000000001
930,579261,286,117.16
931,579262,60,12.38
932,579263,18,12.38
933,579264,70,18.57
934,579265,48,12.38
935,579267,457,239.18
936,579268,368,117.61
937,579269,168,43.18
938,579270,212,86.66
940,579273,267,111.53
941,579274,158,127.85
942,579276,48,24.590000000000003
943,579278,34,37.14
944,579279,158,55.71
945,579280,18,37.14
946,579281,90,30.950000000000003
947,579282,58,48.580000000000005
948,579283,532,317.67
950,579285,24,50.57000000000001
951,579286,53,321.9
952,579287,112,55.71
953,579288,5,30.950000000000003
954,579289,4,18.39
956,579293,86,301.89
958,579300,308,83.44
959,579301,167,558.0799999999999
960,579307,158,101.78999999999998
961,579328,139,63.85
962,579332,162,49.19
963,579339,148,30.770000000000003
964,579345,338,137.02
965,579350,515,110.97
966,579352,29,67.43
967,579358,81,67.75
968,579361,5,24.52
969,579364,73,30.950000000000003
970,579365,6,6.19
971,579387,73,216.1
972,579391,380,94.11999999999998
973,579393,306,185.77000000000004
974,579399,262,668.5799999999999
976,579401,187,135.25000000000003
977,579402,167,18.51
978,579403,180,59.73
979,579404,119,67.29
980,579405,338,12.08
981,579406,54,42.88
982,579407,76,36.72
983,579408,258,597.21
984,579409,1,6.19
985,579410,36,19.62
986,579411,96,145.82
987,579412,182,141.32
988,579413,218,332.9300000000001
989,579414,213,362.00000000000006
990,579416,228,80.07
991,579419,48,43.870000000000005
992,579427,67,152.04000000000002
993,579430,132,278.25
994,579432,168,114.35
995,579433,173,125.07
996,579434,287,101.02
997,579435,6,12.38
998,579436,48,6.19
999,579437,5,12.38
1000,579439,120,43.33
1001,579440,202,142.37
1002,579441,17,24.76
1003,579442,88,92.85
1004,579443,35,86.66
1005,579444,217,123.68
1006,579445,72,18.57
1007,579446,368,215.93
1008,579447,281,180.41
1009,579448,12,6.19
1010,579449,200,12.38
1012,579451,48,6.19
1013,579452,36,6.19
1014,579453,90,60.96
1015,579454,157,50.68000000000001
1016,579455,221,120.76
1017,579456,156,465.05
1018,579457,152,43.18
1019,579458,168,808.7600000000001
1020,579459,99,28.96
1021,579461,453,224.9
1022,579462,255,61.69
1023,579463,2,12.26
1024,579464,104,61.9
1025,579465,114,226.94
1026,579466,72,12.38
1027,579467,109,92.79
1028,579468,77,214.42
1029,579469,100,7.24
1030,579470,588,1308.2400000000002
1031,579471,403,1059.5200000000002
1032,579472,180,779.6900000000003
1033,579473,279,151.06
1034,579489,27,61.9
1035,579491,184,401.99
1036,579492,300,80.41
1037,579493,220,116.77
1038,579494,24,6.13
1039,579495,180,49.28
1040,579497,86,197.47
1042,579499,378,203.30000000000004
1043,579501,625,183.14000000000004
1044,579503,117,188.91
1045,579505,407,41.79
1046,579506,119,66.63
1047,579507,120,111.83
1049,579509,47,65.16
1050,579510,445,196.74
1051,579511,12,6.13
1053,579513,127,18.39
1054,579514,64,73.56
1055,579515,238,121.53
1056,579516,357,990.02
1057,579517,16,50.68000000000001
1058,579518,46,109.02999999999996
1059,579520,68,318.71
1060,579003,166,68.74
1061,579005,204,21.72
1062,579006,72,7.24
1063,579007,96,13.63
1064,579008,166,27.85
1065,579009,12,6.13
1066,579010,50,24.52
1067,579011,152,61.3
1068,579012,44,159.38
1069,579013,82,49.04
1070,579014,364,59.85
1071,579015,24,7.24
1072,579016,198,52.400000000000006
1073,579017,51,22.58
1074,579027,223,61.41
1075,579037,397,95.75
1076,579039,110,60.18
1077,579062,151,110.24
1078,579067,55,57.47
1079,579069,605,376.81000000000006
1080,579087,255,103.25
1081,579089,58,200.92
1082,579091,576,321.5300000000001
1084,579094,292,251.01
1085,579095,13,68.26
1086,579096,172,80.19000000000001
1087,579097,193,72.75
1088,579098,109,338.67999999999995
1089,579099,121,190.99
1090,579100,352,163.82999999999998
1091,579101,165,147.63
1092,579102,340,278.68000000000006
1093,579103,221,341.1700000000001
1094,579106,424,167.85
1095,579107,10,6.13
1096,579108,24,6.13
1097,579109,24,12.26
1098,579116,128,236.15
1099,579121,69,24.52
1100,579122,366,37.29
1101,579123,128,24.52
1102,579124,409,592.0799999999999
1103,579125,511,172.36999999999998
1104,579126,265,24.52
1105,579128,102,30.65
1106,579129,15,53.2
1107,579130,62,33.81
1108,579131,422,287.65
1109,579132,193,344.13
1110,579133,38,99.04
1111,579134,330,136.18
1112,579135,218,315.69
1113,579136,109,80.47
1114,579138,544,92.85
1115,579139,192,6.19
1116,579141,169,507.34
1117,579142,210,222.84
1118,579143,152,92.85
1119,579144,342,129.99
1120,579145,459,347.38000000000005
1121,579146,191,251.8
1122,579147,176,284.64000000000004
1123,579148,49,49.370000000000005
1124,579149,196,123.8
1125,579150,340,71.35
1126,579151,96,14.48
1127,579152,382,207.75
1128,579153,126,74.28
1129,579154,116,201.08000000000004
1130,579155,63,180.52
1131,579156,86,80.47
1132,579157,200,92.85
1133,579158,140,80.47
1134,579159,105,55.71
1135,579160,60,24.76
1137,579162,136,190.95
1138,579163,432,24.76
1139,579164,132,12.38
1140,579165,109,74.28
1141,579166,97,98.89
1142,579167,540,1029.11
1144,579170,63,231.68
1145,579171,190,242.31
1146,579173,161,92.85
1147,579174,315,99.14999999999998
1148,579175,110,183.74
1149,579176,120,68.09
1150,579177,250,49.370000000000005
1151,579179,26,42.52
1152,579180,344,24.08
1153,579181,144,6.02
1154,579182,172,55.540000000000006
1155,579183,168,24.46
1156,579184,93,67.78999999999999
1157,579185,24,6.19
1159,579188,290,258.18
1160,579189,528,15.32
1161,579190,386,53.93000000000001
1162,579191,600,6.19
1163,579193,386,49.52
1164,579194,153,68.09
1166,579245,16,6.19
1167,579249,480,12.38
1168,579250,143,80.16999999999999
1170,579252,432,12.38
1171,579253,96,6.19
1172,579254,209,130.06
1173,579255,91,101.35999999999996
1174,578848,3,14.48
1175,578849,52,115.73
1176,578850,172,222.34000000000003
1177,578851,215,147.84
1178,578852,271,660.8300000000002
1179,578853,47,68.09
1180,578854,186,80.02
1181,578855,66,55.71
1182,578856,290,252.25
1183,578857,22,12.23
1185,578901,104,324.88
1186,578914,96,94.50000000000004
1187,578921,214,953.47
1188,578922,74,197.78000000000003
1189,578923,50,129.99
1190,578924,291,117.61
1191,578925,359,260.16
1192,578926,228,539.5
1193,578927,187,296.07
1194,578928,437,481.05
1195,578929,150,129.69
1196,578931,117,329.08
1197,578933,20,55.71
1198,578934,73,216.87
1199,578935,142,443.61
1200,578936,278,418.69000000000005
1201,578937,225,135.88
1202,578938,12,6.19
1203,578939,82,86.50999999999999
1204,578940,635,440.99
1205,578941,378,408.98
1206,578942,301,674.8300000000002
1207,578943,165,171.51999999999998
1208,578944,102,481.1
1209,578945,71,116.71
1210,578946,71,295.43
1211,578947,438,323.04
1212,578948,66,55.71
1213,578949,127,564.7300000000002
1214,578950,167,409.81
1215,578951,277,49.370000000000005
1216,578952,145,86.66
1217,578953,144,258.32
1218,578954,87,288.48
1219,578977,283,376.46
1220,578992,36,123.8
1221,578993,182,331.71000000000004
1222,578994,225,154.03000000000003
1223,578995,589,645.7000000000002
1224,578996,172,148.56
1225,578997,78,98.89
1226,578998,135,595.5799999999999
1227,578999,144,300.04
1228,579000,14,18.57
1229,579001,460,626.2000000000002
1230,579002,406,710.9399999999999
1231,578679,568,61.3
1232,578680,146,80.47
1233,578681,130,86.66
1234,578682,295,123.8
1235,578683,70,30.950000000000003
1236,578684,12,12.38
1237,578685,216,43.33
1238,578686,235,129.05
1239,578687,183,140.38
1240,578688,235,247.45
1241,578689,177,24.76
1242,578690,41,55.41
1243,578694,126,12.38
1244,578695,86,18.57
1245,578696,336,210.68
1246,578697,281,158.23000000000005
1247,578698,439,213.01
1248,578699,104,30.950000000000003
1249,578701,242,154.45
1251,578703,201,309.83
1252,578704,160,12.38
1253,578705,45,105.23
1254,578707,231,439.3
1255,578708,20,6.19
