,CustomerNo,TotalQuantity,TotalMoney,Clusters
318,12820.0,1092.0,12348.48,0
319,14293.0,709.0,6579.12,0
321,16569.0,93.0,575.67,2
323,12362.0,2188.0,24367.78,1
325,16201.0,1377.0,12822.06,0
326,17861.0,1988.0,20308.57,1
328,16711.0,797.0,7942.64,0
329,12650.0,250.0,1590.7,2
330,18154.0,255.0,2363.58,2
332,13323.0,175.0,1764.15,2
333,14578.0,240.0,1484.85,2
335,16987.0,402.0,5260.91,2
336,17883.0,379.0,2874.51,2
338,14075.0,754.0,7542.58,0
339,18180.0,1721.0,17879.32,1
340,13417.0,162.0,1553.02,2
343,12782.0,1072.0,12179.67,0
344,13126.0,2143.0,21919.32,1
345,15572.0,1229.0,14258.73,1
346,12646.0,1445.0,15251.15,1
347,17402.0,700.0,9185.49,0
348,16513.0,453.0,5126.11,2
349,14931.0,416.0,4651.5,2
350,15628.0,1895.0,21880.24,1
352,15392.0,1277.0,13495.12,0
353,17526.0,413.0,4540.27,2
354,12925.0,540.0,4826.72,2
356,16149.0,308.0,2801.96,2
357,16642.0,542.0,5042.95,2
359,16811.0,520.0,5234.63,2
360,12610.0,2005.0,18853.03,1
361,13612.0,848.0,5521.15,2
362,14759.0,569.0,5406.51,2
363,16500.0,1033.0,13566.05,0
365,15053.0,986.0,8200.88,0
366,17006.0,271.0,2983.04,2
367,12913.0,1417.0,11059.79,0
368,16682.0,1040.0,10942.8,0
369,16360.0,2144.0,23019.42,1
370,17579.0,258.0,2537.87,2
372,14649.0,1018.0,10004.95,0
374,15033.0,1693.0,19022.56,1
375,12381.0,797.0,9136.37,0
376,17254.0,252.0,1596.47,2
377,16910.0,886.0,9256.83,0
378,13311.0,307.0,3519.03,2
379,16904.0,2022.0,22395.27,1
381,14083.0,789.0,7546.77,0
382,12628.0,445.0,4386.39,2
384,16851.0,271.0,2779.46,2
386,15854.0,772.0,9317.08,0
387,15621.0,501.0,4544.65,2
388,14696.0,1630.0,17629.03,1
389,17090.0,1405.0,17018.68,1
392,17218.0,958.0,10829.63,0
394,15097.0,170.0,1048.88,2
396,15031.0,401.0,4446.55,2
397,18044.0,1033.0,12118.39,0
399,16674.0,193.0,2253.83,2
401,17817.0,67.0,803.34,2
402,16200.0,523.0,4597.12,2
403,18015.0,157.0,1013.09,2
406,13083.0,187.0,1932.58,2
407,16968.0,326.0,2651.19,2
408,17683.0,2.0,14.48,2
409,13305.0,1232.0,13825.79,0
410,17676.0,932.0,8864.62,0
411,16379.0,1410.0,14158.48,1
412,15550.0,295.0,2969.33,2
413,12994.0,459.0,4740.06,2
414,16597.0,184.0,1127.92,2
415,13790.0,748.0,4579.84,2
416,13173.0,453.0,4861.14,2
417,15690.0,408.0,3588.24,2
418,16600.0,1145.0,10645.83,0
419,13230.0,1665.0,18287.83,1
420,17699.0,2.0,14.48,2
421,14219.0,78.0,564.72,2
425,13021.0,1352.0,15085.05,1
426,18030.0,67.0,747.54,2
427,12715.0,200.0,2000.45,2
428,12367.0,173.0,1268.6,2
429,14608.0,437.0,5412.57,2
430,13079.0,62.0,758.1,2
432,14629.0,380.0,3846.23,2
433,15274.0,619.0,5812.22,0
435,15724.0,75.0,983.95,2
436,15932.0,2325.0,24497.72,1
438,15145.0,756.0,8224.89,0
440,17383.0,150.0,925.64,2
441,17732.0,109.0,1241.34,2
442,16326.0,709.0,9367.79,0
443,18065.0,1027.0,11673.68,0
444,12952.0,653.0,7084.06,0
445,16438.0,463.0,5084.27,2
446,17629.0,1628.0,17230.36,1
447,13838.0,262.0,2785.96,2
448,13558.0,344.0,3640.58,2
449,14354.0,210.0,1755.3,2
450,16561.0,244.0,2465.03,2
451,17618.0,1636.0,21151.1,1
453,13596.0,406.0,2563.69,2
454,14720.0,219.0,2363.45,2
455,16283.0,1234.0,13460.59,0
456,13822.0,611.0,6354.81,0
457,13153.0,769.0,8860.12,0
458,17114.0,219.0,2812.31,2
459,12827.0,197.0,2154.89,2
460,13808.0,782.0,8921.78,0
461,14583.0,792.0,8014.5,0
463,15773.0,311.0,1976.54,2
464,17131.0,983.0,10051.13,0
465,14546.0,1317.0,14354.12,1
467,13956.0,491.0,5705.06,2
468,17936.0,263.0,1649.94,2
469,15867.0,2035.0,23270.0,1
471,17508.0,1092.0,13280.47,0
472,12719.0,370.0,3193.46,2
473,12560.0,1098.0,11335.82,0
474,12673.0,715.0,7908.16,0
476,16905.0,1405.0,16605.09,1
478,17954.0,2234.0,23168.01,1
479,17173.0,1122.0,11164.17,0
480,13435.0,2129.0,24028.86,1
481,13519.0,962.0,6273.64,0
482,17521.0,520.0,6066.69,0
483,17827.0,1256.0,13424.14,0
484,13704.0,1531.0,17522.69,1
485,13630.0,1391.0,15566.72,1
486,16535.0,356.0,2188.49,2
487,13736.0,497.0,4374.55,2
488,14658.0,47.0,460.96,2
489,14102.0,961.0,9737.34,0
490,12724.0,439.0,4346.39,2
491,16988.0,43.0,259.72,2
493,17537.0,716.0,8193.56,0
494,17157.0,172.0,1644.16,2
496,13297.0,971.0,10774.78,0
497,12684.0,1973.0,21663.16,1
499,17183.0,1296.0,15203.13,1
500,14148.0,129.0,1020.51,2
501,16150.0,1053.0,12533.81,0
502,12364.0,1625.0,15842.75,1
503,12762.0,1223.0,9736.92,0
504,13183.0,2208.0,25382.46,1
505,14897.0,962.0,11719.29,0
506,12558.0,196.0,1213.24,2
507,17942.0,38.0,235.22,2
509,12856.0,1079.0,12237.51,0
510,18097.0,1686.0,18253.74,1
511,13495.0,829.0,9963.32,0
512,17386.0,1902.0,17650.06,1
513,18282.0,103.0,1044.86,2
514,14126.0,507.0,3074.67,2
515,14292.0,1543.0,17931.26,1
516,16440.0,2018.0,20821.14,1
517,16899.0,1084.0,12279.59,0
518,17495.0,231.0,2339.95,2
519,14092.0,2066.0,23915.74,1
522,13705.0,363.0,3739.41,2
523,16038.0,244.0,2843.2,2
524,16759.0,610.0,5102.85,2
525,18144.0,1341.0,15681.22,1
526,12587.0,50.0,309.5,2
528,16474.0,941.0,10938.97,0
529,13560.0,64.0,393.46,2
530,15123.0,1195.0,10496.86,0
531,12704.0,988.0,10975.87,0
532,14428.0,436.0,5198.44,2
533,12695.0,1472.0,18421.26,1
535,14594.0,185.0,2016.96,2
536,17221.0,288.0,2330.17,2
537,15539.0,410.0,2592.05,2
538,13780.0,330.0,2926.61,2
540,17086.0,1892.0,17903.75,1
541,14023.0,345.0,3072.97,2
542,15271.0,1262.0,14713.71,1
543,16103.0,558.0,7160.06,0
545,12970.0,310.0,2042.09,2
546,14250.0,1200.0,11971.93,0
547,15570.0,2067.0,24100.68,1
548,18245.0,1788.0,18187.06,1
550,14560.0,1260.0,14370.68,1
555,13017.0,48.0,297.12,2
556,12962.0,129.0,1224.13,2
558,14493.0,1285.0,12887.71,0
559,14865.0,108.0,1108.8,2
560,13884.0,300.0,3344.57,2
561,13868.0,1964.0,14315.02,1
562,13309.0,1544.0,14579.47,1
563,16366.0,340.0,3485.05,2
564,13367.0,1871.0,11971.08,0
565,16989.0,1234.0,13447.79,0
566,14369.0,19.0,117.61,2
567,18174.0,50.0,309.5,2
568,16359.0,1183.0,14349.99,1
569,14788.0,421.0,3757.48,2
570,17584.0,458.0,4593.87,2
572,15687.0,1310.0,15455.19,1
573,15951.0,313.0,3113.33,2
574,16909.0,466.0,5041.69,2
576,13854.0,2296.0,30706.24,1
577,12572.0,446.0,4389.56,2
579,13509.0,1105.0,11667.43,0
580,15101.0,241.0,1910.97,2
582,16496.0,1161.0,12232.53,0
584,13040.0,355.0,3244.45,2
585,15993.0,2137.0,22341.88,1
588,14243.0,1508.0,18738.8,1
589,14804.0,121.0,747.79,2
590,13159.0,1059.0,10940.73,0
591,16376.0,694.0,7856.28,0
592,14047.0,381.0,4384.15,2
593,14289.0,292.0,3789.48,2
594,17937.0,1754.0,20984.9,1
595,15172.0,1610.0,15752.32,1
596,15021.0,855.0,9914.9,0
598,14178.0,1503.0,14659.93,1
599,15380.0,376.0,4996.42,2
600,12951.0,504.0,5184.56,2
601,14659.0,1195.0,13524.01,0
602,14869.0,550.0,5187.13,2
603,13090.0,2262.0,31264.75,1
604,16156.0,1308.0,15226.15,1
605,14960.0,221.0,1477.79,2
606,12963.0,881.0,9224.72,0
607,18122.0,1224.0,12291.25,0
610,17768.0,1186.0,12213.36,0
611,14287.0,261.0,2577.51,2
612,15862.0,733.0,8828.13,0
614,18077.0,1878.0,21100.58,1
615,15434.0,1839.0,21948.78,1
616,14309.0,1633.0,17912.71,1
617,16966.0,1981.0,19152.74,1
618,17321.0,412.0,5008.89,2
619,15060.0,262.0,1734.68,2
620,12919.0,673.0,6597.84,0
621,15500.0,569.0,6023.38,0
622,16813.0,1525.0,15480.35,1
623,15028.0,459.0,4978.06,2
624,17014.0,245.0,2359.41,2
625,15602.0,1141.0,12011.34,0
626,14262.0,1645.0,17658.9,1
627,17115.0,372.0,3440.03,2
628,14732.0,1405.0,15954.33,1
629,17293.0,1140.0,12871.26,0
630,15904.0,84.0,519.96,2
631,15373.0,499.0,7025.1,0
632,16119.0,358.0,4293.69,2
634,16789.0,32.0,198.08,2
635,16242.0,1982.0,18316.84,1
636,16169.0,1325.0,13137.15,0
637,15948.0,567.0,5929.14,0
638,14440.0,588.0,7362.74,0
639,17350.0,795.0,8210.37,0
640,14766.0,1349.0,15056.72,1
641,14299.0,2150.0,25087.2,1
642,12115.0,2098.0,14211.47,1
643,14655.0,1141.0,11411.54,0
644,16011.0,2042.0,23278.79,1
646,12664.0,1188.0,14394.66,1
647,13124.0,2320.0,26146.0,1
648,12562.0,1754.0,15925.47,1
649,17576.0,1994.0,23034.86,1
651,15531.0,1105.0,11625.71,0
652,17566.0,518.0,4798.32,2
653,14432.0,2070.0,22635.29,1
655,16295.0,1258.0,14661.48,1
657,18058.0,88.0,544.72,2
658,12787.0,258.0,2723.08,2
659,12488.0,526.0,5085.36,2
660,12953.0,84.0,519.96,2
662,15414.0,442.0,4182.88,2
664,12537.0,5.0,30.95,2
666,13658.0,1015.0,10373.48,0
667,14540.0,421.0,4560.11,2
668,12546.0,856.0,8893.83,0
669,15073.0,491.0,5659.44,2
670,13203.0,800.0,8127.89,0
671,12630.0,542.0,5082.9,2
672,15782.0,864.0,10445.3,0
674,16241.0,1453.0,15037.54,1
676,14755.0,2236.0,25430.97,1
678,16115.0,1001.0,11352.63,0
679,16657.0,1228.0,12127.4,0
680,15394.0,910.0,8628.16,0
681,13647.0,895.0,8731.2,0
682,15024.0,920.0,10209.76,0
683,18241.0,1051.0,12303.97,0
684,16062.0,800.0,8469.79,0
685,14963.0,1176.0,11992.03,0
686,12598.0,1952.0,22050.66,1
687,14893.0,799.0,5159.59,2
688,16361.0,421.0,4873.44,2
690,15611.0,502.0,6183.16,0
691,12966.0,75.0,543.0,2
693,13012.0,1398.0,18251.33,1
694,15654.0,542.0,5861.02,0
695,17502.0,1253.0,15611.6,1
696,13255.0,177.0,1773.47,2
697,18230.0,1316.0,15495.4,1
698,14618.0,262.0,2361.36,2
699,15680.0,981.0,10237.07,0
700,16712.0,1746.0,19699.36,1
701,14448.0,104.0,804.9,2
702,15712.0,486.0,5377.67,2
703,14694.0,523.0,3509.62,2
704,15467.0,310.0,3348.4,2
705,15740.0,299.0,3799.99,2
706,12528.0,740.0,8395.34,0
707,13362.0,1382.0,15072.1,1
708,14751.0,143.0,928.72,2
709,17911.0,223.0,1517.12,2
712,17737.0,108.0,985.92,2
715,17787.0,1303.0,13882.75,0
716,17736.0,238.0,2698.12,2
717,14385.0,160.0,1180.99,2
720,17288.0,1203.0,11055.94,0
721,12882.0,246.0,2397.94,2
722,18158.0,354.0,3170.62,2
724,18179.0,1360.0,13570.29,0
725,14713.0,1615.0,17173.74,1
726,16915.0,132.0,1707.16,2
729,12429.0,1538.0,16106.1,1
730,15444.0,764.0,6052.1,0
731,13349.0,224.0,1381.16,2
732,15619.0,136.0,841.84,2
733,15148.0,187.0,1253.17,2
735,13429.0,1390.0,13791.64,0
738,14601.0,449.0,4955.94,2
739,15783.0,212.0,1312.28,2
740,15197.0,469.0,4634.17,2
741,13467.0,950.0,11291.67,0
742,12654.0,260.0,2934.11,2
743,14209.0,1344.0,17436.44,1
744,13928.0,135.0,1683.76,2
745,12375.0,176.0,1385.9,2
746,16818.0,2165.0,25298.02,1
747,13883.0,1436.0,14502.18,1
748,14180.0,719.0,11978.6,0
749,17772.0,58.0,385.78,2
750,13496.0,847.0,10363.97,0
751,16289.0,4.0,24.52,2
752,14419.0,487.0,5377.61,2
753,15297.0,951.0,7259.97,0
756,17655.0,1116.0,13209.99,0
757,17711.0,246.0,2218.99,2
758,14408.0,1616.0,18253.02,1
760,12727.0,2068.0,22770.58,1
762,16352.0,329.0,2948.09,2
763,16992.0,860.0,9852.92,0
764,15361.0,341.0,3904.49,2
765,14173.0,150.0,1441.76,2
766,14452.0,119.0,1019.33,2
768,13137.0,2226.0,23606.0,1
770,14550.0,394.0,3620.44,2
771,13014.0,907.0,11952.66,0
772,13657.0,208.0,1974.52,2
773,14701.0,932.0,10470.91,0
774,16168.0,1892.0,22754.7,1
775,14125.0,1640.0,17978.93,1
776,16479.0,102.0,701.73,2
777,17466.0,306.0,2729.72,2
778,16782.0,712.0,8334.77,0
779,14785.0,84.0,537.36,2
780,16852.0,56.0,669.4,2
782,12464.0,95.0,1657.98,2
783,13999.0,2302.0,24403.9,1
784,15206.0,162.0,1610.46,2
785,14390.0,2138.0,22773.77,1
786,17101.0,815.0,8454.29,0
787,13147.0,144.0,1767.84,2
788,15239.0,594.0,5695.99,2
789,13428.0,156.0,979.98,2
790,14824.0,525.0,4354.1,2
793,13211.0,874.0,8825.93,0
794,12463.0,770.0,8933.32,0
795,15790.0,114.0,723.3,2
796,15755.0,1427.0,16126.41,1
797,14711.0,978.0,12315.08,0
798,13068.0,200.0,1321.0,2
799,16471.0,544.0,4243.69,2
801,16775.0,440.0,6005.15,0
802,14723.0,696.0,7260.61,0
803,12670.0,2007.0,22266.5,1
804,17468.0,116.0,716.6,2
806,14349.0,86.0,551.21,2
808,17682.0,1447.0,12084.8,0
810,15089.0,1359.0,15587.54,1
811,12508.0,1788.0,13121.98,0
812,14554.0,1478.0,15498.68,1
813,14836.0,43.0,469.25,2
814,14512.0,1466.0,10362.33,0
815,14741.0,841.0,9267.58,0
816,17924.0,1160.0,14059.86,0
817,13258.0,706.0,9077.62,0
818,15511.0,271.0,3340.61,2
820,12906.0,1749.0,18246.42,1
821,15571.0,264.0,2965.15,2
823,17031.0,235.0,1696.15,2
825,14470.0,193.0,2097.9,2
826,13914.0,380.0,3156.39,2
828,12668.0,1599.0,17865.24,1
829,17988.0,43.0,534.73,2
830,15561.0,267.0,2568.97,2
831,13758.0,1844.0,20124.51,1
832,15714.0,304.0,3224.04,2
834,16364.0,280.0,2552.41,2
836,17299.0,678.0,7220.39,0
837,15721.0,409.0,2665.93,2
838,14215.0,1358.0,12958.92,0
839,17852.0,53.0,333.17,2
840,15022.0,543.0,5556.75,2
841,13115.0,1567.0,15665.8,1
842,18096.0,825.0,8196.94,0
843,16094.0,647.0,6968.41,0
844,13590.0,1848.0,17411.9,1
845,17019.0,827.0,8770.53,0
846,16744.0,805.0,8373.79,0
847,14597.0,577.0,4302.28,2
848,16347.0,353.0,3105.33,2
849,17523.0,872.0,7216.98,0
850,13844.0,196.0,1213.24,2
851,12479.0,388.0,2706.55,2
852,12660.0,126.0,779.94,2
853,18101.0,88.0,770.44,2
854,17419.0,1876.0,22897.82,1
855,15540.0,200.0,1238.0,2
856,17188.0,1328.0,15261.47,1
857,13196.0,1224.0,13432.45,0
858,17379.0,663.0,4121.82,2
860,13389.0,428.0,4538.74,2
861,14290.0,915.0,11028.26,0
862,16800.0,540.0,3368.55,2
863,17806.0,727.0,4530.58,2
864,13030.0,394.0,3663.42,2
865,17359.0,161.0,996.59,2
867,13950.0,322.0,3169.86,2
868,17237.0,105.0,1216.79,2
870,13188.0,24.0,148.56,2
871,13187.0,1496.0,10146.27,0
872,12657.0,1032.0,8016.62,0
873,17929.0,108.0,1766.8,2
874,14480.0,143.0,883.07,2
875,14511.0,1131.0,13011.81,0
876,14901.0,661.0,7671.09,0
877,13232.0,1471.0,17760.13,1
878,13571.0,1757.0,18712.32,1
879,16407.0,1124.0,12621.96,0
880,17864.0,810.0,8605.39,0
881,14859.0,671.0,6047.46,0
882,14878.0,888.0,10544.98,0
883,17769.0,1862.0,20880.89,1
885,17812.0,350.0,3096.73,2
886,13782.0,371.0,4170.63,2
887,17236.0,496.0,5520.41,2
889,18156.0,301.0,2419.57,2
890,15747.0,480.0,3812.91,2
891,13064.0,516.0,5540.89,2
892,16942.0,811.0,8497.64,0
894,14577.0,610.0,7084.59,0
895,15351.0,753.0,8689.6,0
897,13940.0,1151.0,10167.63,0
898,16024.0,378.0,2517.27,2
899,15009.0,642.0,6796.28,0
900,16005.0,300.0,2655.62,2
901,16877.0,463.0,5201.01,2
902,17411.0,306.0,3451.94,2
903,14954.0,127.0,858.31,2
904,17885.0,367.0,3712.36,2
905,15514.0,2160.0,24231.31,1
906,18112.0,255.0,2226.91,2
907,13546.0,359.0,3612.92,2
908,15054.0,198.0,1843.62,2
909,17231.0,2211.0,25669.56,1
910,13610.0,516.0,6088.93,0
911,15987.0,1556.0,16432.09,1
913,13991.0,997.0,9113.04,0
914,18001.0,363.0,3649.15,2
915,15436.0,613.0,6627.72,0
916,17595.0,232.0,1961.16,2
918,14093.0,406.0,2801.64,2
919,15117.0,1948.0,17424.99,1
920,13579.0,176.0,1444.96,2
921,15134.0,887.0,10074.29,0
922,16856.0,145.0,1432.41,2
924,14703.0,183.0,1166.37,2
925,16719.0,1204.0,12921.64,0
926,15793.0,553.0,5576.75,2
927,17302.0,575.0,6686.48,0
928,12620.0,1178.0,10989.5,0
929,17624.0,554.0,5100.7,2
931,17385.0,509.0,5542.39,2
933,12531.0,45.0,278.55,2
934,15737.0,598.0,6625.78,0
935,17348.0,1401.0,14643.91,1
937,13978.0,315.0,3337.28,2
938,13746.0,1431.0,9072.8,0
939,15872.0,212.0,1404.38,2
940,13525.0,394.0,3574.06,2
941,13184.0,1691.0,18364.35,1
942,13589.0,114.0,975.82,2
943,12788.0,4.0,24.76,2
944,14966.0,187.0,1157.53,2
945,17557.0,306.0,3099.53,2
946,13149.0,1494.0,16005.26,1
948,13048.0,1238.0,11121.63,0
950,12438.0,1169.0,10591.5,0
951,13332.0,176.0,1274.24,2
952,14946.0,22.0,159.28,2
953,14111.0,457.0,3951.41,2
955,17823.0,6.0,36.12,2
956,17562.0,817.0,8168.14,0
957,17329.0,142.0,1398.77,2
958,16827.0,1255.0,7901.4,0
959,16828.0,60.0,724.15,2
960,14710.0,378.0,4258.47,2
961,15186.0,602.0,7480.56,0
962,15473.0,672.0,7633.76,0
963,13833.0,1029.0,7387.6,0
965,13842.0,1779.0,21479.72,1
966,17813.0,790.0,9461.27,0
967,15844.0,1331.0,9141.68,0
968,12845.0,205.0,2461.6,2
969,15847.0,450.0,5009.53,2
970,14332.0,495.0,5903.35,0
971,15594.0,977.0,11425.33,0
972,12421.0,478.0,5091.65,2
973,13277.0,176.0,1381.84,2
974,15270.0,1521.0,15379.19,1
975,12494.0,698.0,7273.18,0
976,14539.0,429.0,2977.89,2
977,15632.0,2109.0,23176.15,1
978,14987.0,128.0,1219.2,2
979,16596.0,106.0,1046.23,2
981,17228.0,1532.0,16008.42,1
984,13638.0,93.0,575.67,2
986,16173.0,575.0,6456.09,0
987,16157.0,347.0,3167.19,2
988,16189.0,134.0,1391.72,2
990,16271.0,1037.0,9570.37,0
991,17671.0,772.0,8030.8,0
994,12388.0,1462.0,16632.03,1
996,16482.0,346.0,2141.74,2
997,16824.0,236.0,2317.08,2
998,12476.0,2357.0,26116.98,1
999,15858.0,1173.0,12964.21,0
1001,12784.0,298.0,2033.17,2
1002,17458.0,216.0,1646.43,2
1004,17975.0,1566.0,20018.08,1
1006,16885.0,183.0,1851.24,2
